
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
366 - 369, <Org>
142071 - 142077, <Location>
142221 - 142231, <Location>
142670 - 142685, <Person>
142670 - 142685, <Person>
142859 - 142865, <Location>
143180 - 143193, <Person>
143195 - 143208, <Person>
143415 - 143421, <Location>
144139 - 144156, <Person>
144139 - 144156, <Person>
144166 - 144208, <Person>
144166 - 144208, <Person>
144166 - 144208, <Person>
144976 - 144983, <Location>
145212 - 145223, <Person>
145306 - 145314, <Org>
145400 - 145415, <Person>
145400 - 145415, <Person>
145650 - 145656, <Location>
146393 - 146396, <Org>
146877 - 146880, <Org>
147148 - 147162, <Location>
147203 - 147216, <Person>
148749 - 148755, <Location>
149462 - 149474, <Location>
150173 - 150184, <Location>
150306 - 150310, <Location>
150415 - 150421, <Location>
150550 - 150562, <Location>
150941 - 150954, <Person>
150960 - 150965, <Person>
151266 - 151272, <Location>
151371 - 151377, <Person>
152078 - 152081, <Location>
152468 - 152471, <Location>
152502 - 152508, <Location>
152980 - 152986, <Person>
153010 - 153016, <Location>
153277 - 153283, <Location>
154822 - 154828, <Location>
154831 - 154838, <Location>
155125 - 155140, <Person>
156416 - 156429, <Person>
156612 - 156628, <Person>
157383 - 157392, <Person>
157756 - 157762, <Location>
157949 - 157955, <Location>
158123 - 158138, <Location>
158153 - 158157, <Person>
158500 - 158515, <Location>
158551 - 158556, <Person>
161913 - 161922, <Person>
163293 - 163301, <Location>
163351 - 163358, <Location>
163631 - 163636, <Location>
165252 - 165256, <Location>
165297 - 165302, <Location>
165621 - 165631, <Person>
166456 - 166466, <Location>
166530 - 166536, <Location>
166921 - 166927, <Location>
168589 - 168604, <Person>
168606 - 168621, <Person>
169464 - 169470, <Org>
169464 - 169470, <Org>
169464 - 169470, <Org>
171496 - 171503, <Person>
171496 - 171503, <Person>
172424 - 172439, <Person>
174637 - 174643, <Location>
175563 - 175569, <Location>
176129 - 176147, <Person>
177832 - 177838, <Location>
177841 - 177848, <Location>
178046 - 178052, <Person>
178355 - 178367, <Person>
179057 - 179070, <Person>
179368 - 179385, <Person>
179368 - 179385, <Person>
179507 - 179513, <Location>
179532 - 179539, <Location>
179699 - 179718, <Person>
179773 - 179780, <Location>
179808 - 179813, <Person>
180159 - 180164, <Person>
180271 - 180276, <Location>
180359 - 180366, <Location>
180622 - 180626, <Location>
180728 - 180731, <Location>
180825 - 180832, <Location>
180837 - 180844, <Location>
180967 - 180981, <Person>
181105 - 181112, <Location>
181630 - 181644, <Person>
181875 - 181881, <Location>
182085 - 182091, <Location>
182319 - 182326, <Location>
182329 - 182335, <Location>
182532 - 182539, <Location>
182641 - 182647, <Location>
182774 - 182780, <Location>
182932 - 182938, <Person>
183521 - 183536, <Person>
183827 - 183834, <Org>
183943 - 183947, <Org>
183969 - 183975, <Person>
184004 - 184010, <Person>
184018 - 184031, <Person>
184074 - 184090, <Person>
184074 - 184090, <Person>
184961 - 184980, <Person>
184961 - 184980, <Person>
185973 - 185984, <Org>
187135 - 187141, <Person>
187402 - 187406, <Org>
187699 - 187706, <Location>
187716 - 187722, <Location>
187922 - 187926, <Org>
188041 - 188045, <Org>
188197 - 188211, <Person>
188250 - 188256, <Location>
190703 - 190717, <Person>
190703 - 190717, <Person>
191335 - 191342, <Location>
197069 - 197083, <Person>
197683 - 197698, <Person>
197955 - 197960, <Person>
198398 - 198404, <Location>
198975 - 198989, <Person>
201206 - 201220, <Person>
201519 - 201540, <Person>
202179 - 202182, <Location>
203196 - 203202, <Location>
203303 - 203317, <Person>
203624 - 203631, <Location>
203969 - 203973, <Location>
203989 - 203995, <Location>
204248 - 204254, <Location>
204563 - 204577, <Person>
204660 - 204666, <Location>
205244 - 205265, <Person>
206517 - 206524, <Location>
207391 - 207396, <Person>
207412 - 207417, <Location>
207493 - 207499, <Location>
208134 - 208155, <Person>
208183 - 208190, <Location>
208873 - 208879, <Location>
208929 - 208956, <Person>
209034 - 209040, <Location>
209075 - 209081, <Location>
209223 - 209229, <Location>
209870 - 209874, <Org>
210462 - 210476, <Person>
210709 - 210715, <Location>
210801 - 210814, <Person>
213042 - 213063, <Person>
213702 - 213708, <Location>
213865 - 213871, <Location>
214066 - 214072, <Location>
214143 - 214148, <Person>
214552 - 214556, <Person>
214576 - 214584, <Org>
214586 - 214603, <Org>
215454 - 215457, <Location>
216455 - 216458, <Location>
216541 - 216544, <Location>
217238 - 217241, <Location>
217659 - 217665, <Location>
217703 - 217717, <Person>
217703 - 217717, <Person>
217741 - 217748, <Org>
217924 - 217945, <Org>
218182 - 218196, <Person>
218182 - 218196, <Person>
218617 - 218635, <Person>
219110 - 219124, <Person>
220233 - 220239, <Location>
220450 - 220457, <Org>
221001 - 221008, <Org>
221095 - 221102, <Org>
221368 - 221374, <Location>
221598 - 221604, <Location>
221805 - 221811, <Location>
221972 - 221978, <Location>
222541 - 222547, <Location>
222644 - 222650, <Location>
222990 - 222997, <Org>
223254 - 223260, <Location>
223507 - 223513, <Location>
223715 - 223721, <Location>
223823 - 223829, <Location>
223939 - 223945, <Location>
224588 - 224594, <Location>
224776 - 224779, <Location>
224797 - 224803, <Location>
224826 - 224832, <Location>
225024 - 225030, <Location>
225251 - 225257, <Location>
225519 - 225525, <Location>
225854 - 225860, <Location>
226153 - 226159, <Location>
226163 - 226170, <Org>
226163 - 226170, <Org>
226175 - 226183, <Org>
226175 - 226183, <Org>
226521 - 226527, <Location>
226893 - 226899, <Location>
226954 - 226960, <Location>
228457 - 228463, <Location>
229153 - 229159, <Location>
229490 - 229496, <Location>
230870 - 230876, <Location>
235246 - 235252, <Location>
236705 - 236711, <Location>
237701 - 237707, <Location>
240289 - 240295, <Location>
240336 - 240342, <Location>
240585 - 240591, <Location>
240811 - 240817, <Location>
241447 - 241450, <Location>
241515 - 241520, <Location>
241715 - 241721, <Location>
243587 - 243593, <Location>
243741 - 243747, <Location>
244321 - 244327, <Location>
244473 - 244479, <Location>
244730 - 244736, <Location>
244811 - 244817, <Location>
245116 - 245122, <Location>
245125 - 245136, <Location>
245139 - 245150, <Location>
245304 - 245310, <Location>
245390 - 245396, <Location>
245409 - 245419, <Location>
245589 - 245595, <Location>
246776 - 246782, <Location>
247264 - 247270, <Location>
247548 - 247551, <Location>
247553 - 247559, <Location>
247561 - 247575, <Location>
247708 - 247714, <Location>
248779 - 248785, <Location>
249223 - 249229, <Location>
249352 - 249358, <Location>
250078 - 250084, <Location>
252750 - 252756, <Location>
253640 - 253646, <Location>
253752 - 253758, <Location>
254041 - 254047, <Location>
254925 - 254931, <Location>
254954 - 254960, <Location>
255036 - 255041, <Location>
255094 - 255100, <Location>
255203 - 255209, <Location>
255277 - 255283, <Location>
255323 - 255331, <Org>
255333 - 255350, <Org>
255412 - 255418, <Location>
256882 - 256888, <Location>
256926 - 256932, <Location>
257016 - 257022, <Location>
257047 - 257062, <Person>
257951 - 257964, <Person>
257973 - 257983, <Person>
258050 - 258055, <Location>
258058 - 258064, <Location>
258066 - 258071, <Location>
258074 - 258079, <Location>
258099 - 258102, <Location>
258414 - 258432, <Person>
258933 - 258943, <Person>
258968 - 258971, <Location>
259161 - 259167, <Location>
259319 - 259322, <Location>
259631 - 259637, <Location>
259820 - 259823, <Location>
259877 - 259883, <Location>
259982 - 259988, <Location>
260184 - 260190, <Location>
260843 - 260849, <Location>
261079 - 261085, <Location>
261222 - 261238, <Person>
261326 - 261330, <Org>
261473 - 261480, <Location>
261542 - 261547, <Location>
261644 - 261650, <Location>
261728 - 261734, <Location>
261792 - 261798, <Location>
261963 - 261971, <Org>
262199 - 262205, <Location>
262374 - 262380, <Location>
262971 - 262978, <Org>
262971 - 262978, <Org>
262982 - 262990, <Org>
262982 - 262990, <Org>
263081 - 263085, <Org>
263132 - 263138, <Location>
263255 - 263272, <Org>
263255 - 263272, <Org>
263545 - 263551, <Location>
263591 - 263595, <Org>
263647 - 263653, <Location>
264291 - 264297, <Location>
264554 - 264557, <Org>
264573 - 264584, <Location>
264721 - 264741, <Person>
264721 - 264741, <Person>
264721 - 264741, <Person>
264772 - 264778, <Location>
264805 - 264810, <Location>
264940 - 264943, <Org>
265054 - 265064, <Location>
265066 - 265069, <Location>
265265 - 265268, <Location>
265389 - 265403, <Person>
265509 - 265512, <Org>
265517 - 265523, <Person>
265801 - 265812, <Location>
265931 - 265934, <Location>
266240 - 266243, <Org>
266246 - 266257, <Location>
266328 - 266342, <Location>
266535 - 266538, <Org>
266535 - 266538, <Org>
266815 - 266818, <Org>
269235 - 269243, <Location>
269280 - 269299, <Person>
269280 - 269299, <Person>
269280 - 269299, <Person>
269677 - 269680, <Location>
269802 - 269805, <Org>
269905 - 269908, <Org>
270406 - 270409, <Org>
270998 - 271001, <Location>
271003 - 271011, <Location>
271761 - 271764, <Org>
271869 - 271884, <Person>
271904 - 271911, <Location>
271998 - 272005, <Location>
272704 - 272711, <Location>
273682 - 273689, <Location>
273737 - 273753, <Person>
273737 - 273753, <Person>
273778 - 273785, <Location>
273842 - 273860, <Person>
273842 - 273860, <Person>
273982 - 273989, <Location>
274079 - 274086, <Location>
274099 - 274106, <Location>
274204 - 274211, <Location>
274526 - 274531, <Org>
274568 - 274575, <Location>
274763 - 274770, <Location>
274831 - 274855, <Person>
274831 - 274855, <Person>
274831 - 274855, <Person>
274914 - 274921, <Location>
274965 - 274972, <Location>
275427 - 275434, <Location>
275475 - 275481, <Location>
275613 - 275632, <Person>
275666 - 275679, <Person>
275681 - 275712, <Person>
275681 - 275712, <Person>
275722 - 275729, <Person>
275742 - 275748, <Person>
275761 - 275766, <Person>
275777 - 275784, <Person>
275810 - 275816, <Person>
276045 - 276062, <Person>
276296 - 276303, <Location>
276375 - 276386, <Org>
278607 - 278629, <Person>
278641 - 278657, <Person>
279173 - 279176, <Location>
281327 - 281333, <Person>
281464 - 281483, <Person>
281501 - 281508, <Person>
281559 - 281565, <Person>
282134 - 282141, <Location>
282630 - 282638, <Person>
282688 - 282695, <Location>
282794 - 282801, <Location>
282862 - 282868, <Location>
283427 - 283442, <Person>
283455 - 283461, <Location>
284283 - 284290, <Location>
284766 - 284773, <Location>
285017 - 285024, <Location>
285165 - 285171, <Location>
285174 - 285182, <Location>
285562 - 285569, <Location>
285771 - 285777, <Person>
286114 - 286120, <Location>
286124 - 286139, <Person>
286390 - 286396, <Person>
286488 - 286494, <Person>
286576 - 286580, <Location>
286864 - 286871, <Org>
288364 - 288370, <Location>
288833 - 288836, <Org>
288982 - 288985, <Org>
291505 - 291512, <Org>
291792 - 291805, <Person>
291991 - 291998, <Location>
292018 - 292037, <Location>
292095 - 292110, <Person>
292286 - 292293, <Org>
292397 - 292403, <Location>
292557 - 292564, <Org>
292644 - 292651, <Org>
292720 - 292727, <Org>
292761 - 292767, <Location>
292775 - 292785, <Location>
292814 - 292821, <Org>
293087 - 293102, <Person>
293187 - 293202, <Location>
293454 - 293461, <Org>
293681 - 293688, <Location>
293958 - 293965, <Org>
294152 - 294159, <Location>
294464 - 294471, <Location>
294588 - 294595, <Org>
294678 - 294685, <Org>
294837 - 294844, <Org>
294894 - 294914, <Person>
295263 - 295270, <Org>
295311 - 295318, <Org>
295555 - 295565, <Location>
295623 - 295630, <Location>
295712 - 295719, <Org>
295911 - 295918, <Org>
296083 - 296090, <Org>
296169 - 296192, <Person>
296271 - 296277, <Location>
296419 - 296429, <Location>
296709 - 296719, <Location>
296767 - 296774, <Location>
296912 - 296919, <Org>
297440 - 297447, <Org>
297604 - 297611, <Org>
297890 - 297897, <Org>
298209 - 298223, <Person>
298329 - 298336, <Org>
298390 - 298395, <Location>
298667 - 298673, <Location>
299290 - 299296, <Location>
299298 - 299304, <Location>
299306 - 299311, <Location>
299313 - 299325, <Location>
299335 - 299344, <Location>
299346 - 299358, <Location>
299372 - 299383, <Location>
299385 - 299393, <Location>
299425 - 299438, <Location>
299636 - 299649, <Person>
299835 - 299842, <Location>
299862 - 299881, <Location>
300034 - 300049, <Person>
300440 - 300446, <Location>
300600 - 300607, <Org>
300687 - 300694, <Org>
300763 - 300770, <Org>
300804 - 300810, <Location>
300818 - 300828, <Location>
301115 - 301130, <Person>
301473 - 301498, <Person>
301977 - 301985, <Location>
302041 - 302048, <Org>
302605 - 302612, <Location>
302641 - 302656, <Person>
302895 - 302902, <Org>
302985 - 302992, <Org>
303117 - 303123, <Location>
303144 - 303151, <Org>
303201 - 303221, <Person>
303357 - 303364, <Person>
303623 - 303630, <Org>
303671 - 303678, <Org>
303915 - 303925, <Location>
304074 - 304081, <Location>
304343 - 304350, <Org>
304541 - 304548, <Org>
304766 - 304773, <Org>
304852 - 304875, <Person>
304954 - 304960, <Location>
305463 - 305473, <Location>
305521 - 305528, <Location>
306171 - 306178, <Org>
309503 - 309510, <Location>
313019 - 313033, <Location>
313838 - 313844, <Location>
315496 - 315502, <Location>
315965 - 315968, <Org>
315965 - 315968, <Org>
316114 - 316117, <Org>
317223 - 317229, <Location>
318443 - 318457, <Person>
318815 - 318821, <Location>
318815 - 318821, <Location>
319256 - 319264, <Location>
319278 - 319284, <Location>
319420 - 319428, <Location>
319459 - 319471, <Person>
319481 - 319496, <Person>
319481 - 319496, <Person>
319459 - 319471, <Person>
319567 - 319575, <Location>
320133 - 320148, <Person>
320422 - 320428, <Location>
320439 - 320458, <Person>
320471 - 320482, <Person>
320471 - 320482, <Person>
320439 - 320458, <Person>
320668 - 320674, <Location>
320895 - 320901, <Location>
320920 - 320934, <Person>
320937 - 320954, <Person>
321068 - 321079, <Person>
321097 - 321103, <Location>
321237 - 321243, <Location>
321452 - 321481, <Org>
321506 - 321523, <Person>
321506 - 321523, <Person>
321524 - 321536, <Person>
321506 - 321523, <Person>
321809 - 321826, <Person>
321809 - 321826, <Person>
321888 - 321903, <Person>
321888 - 321903, <Person>
322071 - 322088, <Person>
322178 - 322193, <Person>
322195 - 322210, <Person>
322212 - 322223, <Person>
322225 - 322236, <Person>
322238 - 322248, <Person>
322250 - 322266, <Person>
322269 - 322283, <Person>
322340 - 322357, <Person>
322692 - 322707, <Person>
322842 - 322859, <Person>
322961 - 322973, <Person>
322979 - 322994, <Person>
323138 - 323146, <Location>
323601 - 323610, <Location>
323694 - 323702, <Location>
323798 - 323806, <Org>
324407 - 324425, <Person>
324407 - 324425, <Person>
324454 - 324460, <Location>
324486 - 324494, <Location>
324515 - 324523, <Location>
324515 - 324523, <Location>
324717 - 324725, <Location>
324750 - 324757, <Location>
324866 - 324874, <Location>
325312 - 325328, <Person>
325312 - 325328, <Person>
325391 - 325399, <Location>
325410 - 325416, <Location>
325579 - 325586, <Location>
325649 - 325656, <Location>
325659 - 325667, <Location>
325754 - 325762, <Location>
325796 - 325804, <Location>
325814 - 325820, <Location>
326033 - 326037, <Org>
326033 - 326037, <Org>
326133 - 326139, <Location>
326141 - 326147, <Location>
326159 - 326165, <Location>
326312 - 326320, <Location>
326573 - 326577, <Org>
326573 - 326577, <Org>
326921 - 326925, <Org>
326921 - 326925, <Org>
327252 - 327261, <Location>
327306 - 327314, <Location>
327317 - 327324, <Location>
327373 - 327375, <Org>
327392 - 327400, <Location>
327427 - 327435, <Location>
328085 - 328093, <Location>
328221 - 328229, <Location>
328278 - 328282, <Org>
328278 - 328282, <Org>
328684 - 328699, <Person>
328867 - 328871, <Org>
328867 - 328871, <Org>
329013 - 329019, <Location>
329371 - 329378, <Location>
329410 - 329418, <Location>
329435 - 329437, <Org>
329611 - 329619, <Location>
329685 - 329692, <Location>
329883 - 329891, <Location>
330905 - 330913, <Location>
330980 - 330995, <Person>
331046 - 331054, <Location>
331830 - 331845, <Person>
331904 - 331920, <Person>
332058 - 332064, <Org>
332058 - 332064, <Org>
332058 - 332064, <Org>
332288 - 332303, <Person>
332681 - 332689, <Location>
333025 - 333033, <Location>
333683 - 333689, <Location>
333725 - 333731, <Location>
334173 - 334179, <Location>
334206 - 334212, <Location>
334473 - 334488, <Person>
334518 - 334524, <Org>
334518 - 334524, <Org>
334576 - 334582, <Location>
334879 - 334887, <Location>
335134 - 335140, <Location>
336060 - 336066, <Location>
336783 - 336805, <Person>
336842 - 336855, <Person>
338116 - 338134, <Person>
338579 - 338589, <Person>
338988 - 338996, <Location>
340155 - 340163, <Location>
340175 - 340183, <Location>
340212 - 340220, <Location>
340252 - 340256, <Org>
340645 - 340670, <Org>
340708 - 340716, <Location>
340828 - 340835, <Location>
340954 - 340962, <Location>
341044 - 341051, <Location>
341167 - 341175, <Location>
341222 - 341230, <Location>
341446 - 341454, <Location>
341642 - 341650, <Location>
341848 - 341856, <Location>
341997 - 342005, <Location>
342395 - 342403, <Location>
342455 - 342461, <Location>
342665 - 342671, <Location>
343122 - 343136, <Person>
343122 - 343136, <Person>
343223 - 343238, <Person>
343223 - 343238, <Person>
343396 - 343412, <Person>
343396 - 343412, <Person>
343490 - 343498, <Location>
343583 - 343590, <Location>
343734 - 343740, <Location>
343877 - 343903, <Person>
343877 - 343903, <Person>
343877 - 343903, <Person>
344037 - 344043, <Location>
344207 - 344224, <Person>
344207 - 344224, <Person>
344319 - 344327, <Location>
344473 - 344479, <Location>
344540 - 344566, <Person>
344540 - 344566, <Person>
344597 - 344605, <Location>
344662 - 344670, <Location>
344831 - 344837, <Location>
344902 - 344910, <Location>
345356 - 345364, <Location>
345611 - 345617, <Location>
345743 - 345751, <Location>
348744 - 348751, <Location>
352128 - 352153, <Person>
352128 - 352153, <Person>
352128 - 352153, <Person>
352351 - 352356, <Person>
352623 - 352629, <Location>
352692 - 352695, <Location>
352746 - 352763, <Location>
352765 - 352770, <Location>
352773 - 352777, <Location>
353017 - 353022, <Location>
353114 - 353120, <Location>
353138 - 353154, <Person>
353138 - 353154, <Person>
353445 - 353474, <Person>
353475 - 353494, <Person>
353445 - 353474, <Person>
353550 - 353562, <Person>
353550 - 353562, <Person>
353607 - 353624, <Person>
353607 - 353624, <Person>
353626 - 353646, <Person>
353655 - 353670, <Person>
353626 - 353646, <Person>
353687 - 353694, <Org>
353774 - 353780, <Location>
354147 - 354153, <Location>
354313 - 354320, <Org>
354313 - 354320, <Org>
354342 - 354358, <Person>
354342 - 354358, <Person>
354371 - 354378, <Org>
354395 - 354413, <Person>
354395 - 354413, <Person>
354422 - 354427, <Location>
356723 - 356737, <Person>
357434 - 357465, <Org>
357889 - 357893, <Org>
358098 - 358121, <Person>
358098 - 358121, <Person>
358177 - 358197, <Person>
358220 - 358241, <Person>
358243 - 358264, <Person>
358279 - 358301, <Person>
358279 - 358301, <Person>
358308 - 358329, <Person>
358516 - 358526, <Org>
358686 - 358693, <Person>
359479 - 359497, <Person>
359507 - 359529, <Person>
359507 - 359529, <Person>
359639 - 359649, <Org>
360176 - 360182, <Location>
360235 - 360241, <Location>
360420 - 360426, <Location>
360508 - 360522, <Org>
360508 - 360522, <Org>
360508 - 360522, <Org>
360566 - 360584, <Person>
360566 - 360584, <Person>
361244 - 361268, <Person>
361326 - 361354, <Person>
361403 - 361424, <Person>
361426 - 361452, <Person>
361426 - 361452, <Person>
361989 - 361995, <Org>
361998 - 362013, <Location>
