
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
239 - 252, <Person>
22863 - 22879, <Org>
22998 - 23010, <Org>
23056 - 23073, <Org>
23109 - 23128, <Org>
23146 - 23170, <Org>
23174 - 23180, <Location>
23228 - 23237, <Org>
23288 - 23298, <Location>
23331 - 23337, <Location>
23340 - 23347, <Location>
23381 - 23388, <Location>
23423 - 23430, <Location>
23464 - 23471, <Location>
23515 - 23544, <Org>
23547 - 23554, <Location>
23590 - 23596, <Location>
23599 - 23604, <Location>
23622 - 23639, <Org>
23642 - 23647, <Location>
23686 - 23702, <Org>
23705 - 23712, <Location>
23751 - 23758, <Location>
24321 - 24332, <Person>
24369 - 24381, <Person>
24416 - 24427, <Person>
24457 - 24466, <Person>
24470 - 24475, <Person>
24517 - 24530, <Person>
24557 - 24574, <Person>
24603 - 24611, <Person>
24615 - 24620, <Person>
24659 - 24674, <Person>
24700 - 24713, <Person>
24748 - 24767, <Person>
24792 - 24800, <Person>
24804 - 24809, <Person>
24905 - 24924, <Person>
24960 - 24974, <Person>
25012 - 25026, <Person>
25063 - 25079, <Person>
25116 - 25135, <Person>
25184 - 25187, <Org>
25287 - 25292, <Location>
25354 - 25367, <Org>
25451 - 25460, <Location>
25473 - 25482, <Location>
25603 - 25612, <Org>
25701 - 25706, <Location>
25722 - 25752, <Org>
25925 - 25953, <Org>
26174 - 26190, <Org>
26580 - 26585, <Location>
27130 - 27144, <Person>
27147 - 27158, <Person>
27163 - 27176, <Person>
27309 - 27318, <Location>
27485 - 27492, <Person>
27495 - 27502, <Person>
27505 - 27511, <Person>
27514 - 27526, <Person>
27529 - 27542, <Person>
27547 - 27561, <Person>
27861 - 27873, <Org>
28153 - 28186, <Org>
28198 - 28207, <Location>
28273 - 28281, <Location>
28284 - 28292, <Location>
28413 - 28429, <Person>
28432 - 28440, <Person>
28443 - 28457, <Person>
28460 - 28472, <Person>
28475 - 28488, <Person>
28491 - 28504, <Person>
28507 - 28520, <Person>
28525 - 28538, <Person>
28590 - 28593, <Org>
28597 - 28602, <Location>
28637 - 28648, <Person>
28651 - 28667, <Person>
28670 - 28682, <Person>
28685 - 28698, <Person>
28701 - 28729, <Person>
28732 - 28746, <Person>
28834 - 28848, <Person>
28851 - 28863, <Person>
28866 - 28879, <Person>
28882 - 28896, <Person>
28899 - 28912, <Person>
28915 - 28926, <Person>
28931 - 28942, <Person>
28976 - 28985, <Location>
28990 - 28995, <Location>
29053 - 29070, <Org>
29075 - 29092, <Org>
29200 - 29209, <Location>
29328 - 29337, <Location>
29352 - 29360, <Location>
29374 - 29405, <Org>
29471 - 29483, <Person>
29517 - 29529, <Person>
29532 - 29545, <Person>
29586 - 29598, <Person>
29829 - 29840, <Org>
29922 - 29944, <Org>
30022 - 30038, <Person>
30142 - 30153, <Org>
30268 - 30284, <Org>
30359 - 30370, <Org>
30388 - 30391, <Org>
30421 - 30426, <Org>
30515 - 30551, <Org>
30515 - 30551, <Org>
30559 - 30572, <Person>
30577 - 30588, <Org>
30596 - 30608, <Person>
30633 - 30646, <Org>
30683 - 30696, <Org>
30748 - 30751, <Org>
30812 - 30821, <Location>
31045 - 31054, <Location>
31168 - 31183, <Location>
31208 - 31215, <Location>
31256 - 31269, <Location>
31273 - 31288, <Location>
31344 - 31351, <Location>
31356 - 31369, <Location>
31483 - 31503, <Location>
31507 - 31522, <Location>
31795 - 31810, <Location>
31815 - 31832, <Location>
32005 - 32018, <Person>
32094 - 32101, <Person>
32104 - 32118, <Person>
32121 - 32138, <Person>
32145 - 32166, <Person>
32259 - 32281, <Person>
32302 - 32308, <Person>
32357 - 32368, <Location>
32416 - 32441, <Org>
32416 - 32441, <Org>
32445 - 32451, <Person>
32486 - 32492, <Person>
32519 - 32536, <Org>
32570 - 32577, <Person>
32640 - 32648, <Org>
32668 - 32676, <Org>
32845 - 32854, <Org>
32894 - 32905, <Person>
32909 - 32915, <Location>
32918 - 32928, <Location>
33015 - 33030, <Org>
33042 - 33069, <Person>
33207 - 33213, <Location>
33217 - 33229, <Person>
33234 - 33250, <Person>
33362 - 33371, <Person>
33430 - 33450, <Person>
33618 - 33628, <Person>
33848 - 33855, <Location>
33873 - 33888, <Person>
33891 - 33909, <Person>
33912 - 33933, <Person>
33938 - 33955, <Person>
34108 - 34144, <Org>
34147 - 34174, <Org>
34246 - 34253, <Location>
34305 - 34325, <Person>
34331 - 34337, <Location>
34422 - 34437, <Person>
34569 - 34583, <Location>
34637 - 34646, <Person>
34649 - 34676, <Person>
34716 - 34723, <Location>
34781 - 34799, <Location>
34802 - 34808, <Location>
34821 - 34826, <Location>
34829 - 34836, <Location>
34929 - 34935, <Location>
34956 - 34961, <Location>
35009 - 35017, <Location>
36504 - 36510, <Person>
37347 - 37359, <Person>
37498 - 37510, <Location>
37588 - 37595, <Location>
37601 - 37609, <Location>
37614 - 37622, <Location>
37625 - 37637, <Location>
38207 - 38218, <Person>
38226 - 38233, <Location>
38276 - 38283, <Location>
38303 - 38332, <Org>
38389 - 38403, <Org>
38552 - 38556, <Person>
38570 - 38577, <Org>
38610 - 38623, <Org>
38709 - 38724, <Person>
38744 - 38758, <Org>
38836 - 38852, <Person>
38856 - 38869, <Person>
38880 - 38884, <Person>
38964 - 38981, <Person>
39138 - 39150, <Location>
39270 - 39281, <Person>
39582 - 39589, <Person>
39643 - 39653, <Location>
39657 - 39663, <Location>
39667 - 39674, <Person>
39725 - 39738, <Org>
39760 - 39782, <Person>
39806 - 39822, <Person>
39826 - 39833, <Person>
40141 - 40149, <Location>
40158 - 40169, <Location>
40358 - 40388, <Org>
40419 - 40424, <Org>
40433 - 40457, <Org>
40492 - 40498, <Location>
40501 - 40509, <Location>
40517 - 40553, <Org>
40556 - 40560, <Org>
40697 - 40703, <Location>
40719 - 40727, <Location>
40730 - 40737, <Location>
40921 - 40929, <Location>
40976 - 40987, <Org>
41076 - 41080, <Org>
41089 - 41093, <Org>
41127 - 41133, <Location>
41197 - 41205, <Location>
41232 - 41264, <Org>
41465 - 41473, <Person>
41485 - 41491, <Location>
42697 - 42701, <Org>
43032 - 43036, <Org>
43201 - 43205, <Org>
43294 - 43298, <Org>
43496 - 43504, <Org>
43748 - 43768, <Org>
44009 - 44017, <Location>
44068 - 44072, <Org>
44161 - 44165, <Org>
44201 - 44221, <Org>
44263 - 44274, <Org>
44352 - 44359, <Person>
44474 - 44480, <Location>
44507 - 44527, <Org>
44588 - 44608, <Org>
44661 - 44698, <Org>
44701 - 44705, <Org>
44794 - 44798, <Org>
44879 - 44885, <Location>
44927 - 44931, <Org>
45138 - 45142, <Org>
45284 - 45288, <Org>
45716 - 45720, <Org>
45851 - 45855, <Org>
46086 - 46100, <Person>
46224 - 46244, <Org>
46602 - 46613, <Person>
46664 - 46668, <Person>
46698 - 46707, <Location>
46773 - 46779, <Location>
46875 - 46902, <Org>
46948 - 46972, <Org>
47007 - 47027, <Org>
47031 - 47038, <Location>
47041 - 47046, <Location>
47112 - 47120, <Location>
47242 - 47251, <Location>
47254 - 47263, <Location>
47321 - 47330, <Location>
47333 - 47335, <Location>
47382 - 47411, <Org>
47414 - 47420, <Org>
47423 - 47430, <Location>
47509 - 47522, <Person>
47530 - 47535, <Person>
47737 - 47750, <Location>
47858 - 47871, <Person>
48217 - 48223, <Person>
48276 - 48282, <Person>
48847 - 48884, <Org>
49148 - 49154, <Person>
49233 - 49239, <Person>
49364 - 49378, <Person>
49692 - 49698, <Person>
49840 - 49853, <Person>
49962 - 49968, <Person>
50272 - 50278, <Person>
50447 - 50459, <Person>
50603 - 50616, <Person>
50682 - 50688, <Person>
50707 - 50769, <Org>
50707 - 50769, <Org>
50780 - 50801, <Org>
50887 - 50893, <Person>
51044 - 51050, <Person>
51077 - 51105, <Org>
51114 - 51165, <Org>
51548 - 51561, <Person>
51659 - 51675, <Org>
51687 - 51691, <Org>
51696 - 51702, <Person>
51716 - 51722, <Person>
51727 - 51740, <Person>
51782 - 51819, <Org>
52177 - 52192, <Person>
52221 - 52236, <Location>
52239 - 52246, <Location>
52376 - 52391, <Person>
52413 - 52428, <Person>
52443 - 52458, <Location>
52461 - 52464, <Location>
52479 - 52484, <Location>
52500 - 52506, <Person>
52549 - 52575, <Org>
52579 - 52590, <Location>
52731 - 52736, <Location>
52874 - 52885, <Location>
52905 - 52916, <Location>
52969 - 52974, <Location>
53069 - 53075, <Person>
53147 - 53153, <Person>
53174 - 53179, <Location>
53389 - 53395, <Person>
53450 - 53468, <Person>
53471 - 53477, <Person>
53493 - 53505, <Person>
53545 - 53549, <Location>
53576 - 53590, <Person>
53647 - 53653, <Person>
53792 - 53797, <Location>
53975 - 53981, <Org>
53998 - 54011, <Org>
54144 - 54168, <Org>
54223 - 54227, <Org>
54230 - 54238, <Org>
54241 - 54262, <Org>
54417 - 54423, <Person>
54480 - 54485, <Location>
54510 - 54521, <Person>
54524 - 54539, <Person>
54542 - 54553, <Person>
54556 - 54567, <Person>
54570 - 54584, <Person>
54617 - 54620, <Org>
54623 - 54636, <Org>
54639 - 54656, <Org>
54639 - 54656, <Org>
54711 - 54717, <Person>
54757 - 54762, <Location>
54995 - 55000, <Location>
55014 - 55020, <Person>
55030 - 55047, <Org>
55163 - 55168, <Location>
55171 - 55182, <Location>
55186 - 55201, <Location>
55214 - 55218, <Location>
55221 - 55224, <Location>
55229 - 55234, <Location>
55255 - 55260, <Location>
55299 - 55311, <Org>
55404 - 55419, <Org>
55428 - 55433, <Location>
55916 - 55919, <Org>
56177 - 56183, <Person>
56249 - 56255, <Person>
56315 - 56329, <Person>
56332 - 56342, <Person>
56360 - 56371, <Person>
56379 - 56393, <Person>
56396 - 56411, <Person>
56427 - 56435, <Person>
56438 - 56450, <Person>
56453 - 56465, <Person>
56468 - 56480, <Person>
56483 - 56496, <Person>
56499 - 56522, <Person>
56525 - 56536, <Person>
56549 - 56561, <Person>
56564 - 56585, <Org>
56588 - 56602, <Person>
56605 - 56620, <Person>
56934 - 56940, <Person>
56970 - 56977, <Location>
57151 - 57156, <Org>
57159 - 57168, <Org>
57171 - 57180, <Org>
57183 - 57187, <Org>
57190 - 57205, <Org>
57190 - 57205, <Org>
57190 - 57205, <Org>
57448 - 57454, <Person>
57498 - 57503, <Location>
57506 - 57523, <Org>
58248 - 58254, <Person>
58399 - 58409, <Location>
58435 - 58441, <Person>
58548 - 58554, <Person>
58910 - 58918, <Location>
59077 - 59085, <Location>
59107 - 59121, <Person>
59150 - 59162, <Person>
59296 - 59302, <Location>
59307 - 59317, <Location>
59493 - 59516, <Org>
59520 - 59528, <Location>
59707 - 59713, <Location>
59733 - 59742, <Location>
59802 - 59809, <Location>
59911 - 59925, <Location>
59956 - 59964, <Location>
60042 - 60048, <Location>
60078 - 60088, <Location>
60289 - 60302, <Person>
60458 - 60472, <Person>
60720 - 60732, <Person>
60957 - 60970, <Location>
61199 - 61207, <Location>
61295 - 61303, <Location>
61369 - 61378, <Person>
61992 - 61999, <Location>
62003 - 62012, <Location>
62015 - 62020, <Location>
62369 - 62383, <Location>
62649 - 62662, <Location>
62768 - 62774, <Location>
62812 - 62819, <Location>
63056 - 63075, <Person>
63574 - 63576, <Location>
63837 - 63850, <Person>
63890 - 63896, <Location>
63942 - 63948, <Location>
64018 - 64022, <Org>
64025 - 64064, <Org>
64074 - 64140, <Org>
64181 - 64189, <Org>
64194 - 64198, <Org>
64374 - 64377, <Org>
64487 - 64496, <Location>
64499 - 64506, <Location>
64534 - 64543, <Location>
64649 - 64655, <Location>
64664 - 64685, <Location>
64711 - 64713, <Location>
64848 - 64860, <Person>
64948 - 64954, <Org>
65002 - 65011, <Location>
65023 - 65034, <Person>
65103 - 65116, <Person>
65417 - 65432, <Location>
65468 - 65479, <Person>
65782 - 65794, <Person>
66671 - 66695, <Org>
66706 - 66733, <Org>
66761 - 66772, <Org>
66801 - 66816, <Person>
66924 - 66932, <Person>
67053 - 67067, <Person>
67204 - 67220, <Org>
67482 - 67495, <Person>
67519 - 67535, <Org>
67580 - 67596, <Org>
67626 - 67637, <Person>
67682 - 67705, <Org>
67774 - 67801, <Org>
67912 - 67924, <Person>
68162 - 68176, <Org>
68221 - 68226, <Org>
68230 - 68245, <Org>
68434 - 68462, <Org>
68478 - 68494, <Org>
68511 - 68535, <Org>
68571 - 68584, <Location>
68663 - 68690, <Org>
68734 - 68750, <Person>
68947 - 68955, <Person>
69054 - 69067, <Org>
69241 - 69246, <Location>
69249 - 69255, <Location>
69379 - 69385, <Location>
69850 - 69855, <Location>
69882 - 69894, <Person>
69902 - 69919, <Org>
70671 - 70692, <Location>
70705 - 70713, <Location>
70721 - 70743, <Org>
70905 - 70931, <Org>
70938 - 70954, <Org>
71009 - 71024, <Person>
71031 - 71049, <Person>
71052 - 71062, <Person>
71067 - 71074, <Person>
71098 - 71124, <Org>
71127 - 71130, <Org>
71222 - 71256, <Org>
71284 - 71290, <Location>
71293 - 71300, <Location>
71303 - 71310, <Location>
71313 - 71319, <Location>
71322 - 71329, <Location>
71346 - 71357, <Location>
71360 - 71368, <Location>
71373 - 71378, <Location>
71387 - 71390, <Org>
71515 - 71521, <Location>
71561 - 71587, <Org>
71590 - 71593, <Org>
71635 - 71645, <Location>
71648 - 71650, <Location>
71719 - 71731, <Location>
71760 - 71776, <Person>
71784 - 71787, <Org>
72029 - 72035, <Location>
72136 - 72141, <Location>
72430 - 72439, <Location>
72676 - 72681, <Location>
73370 - 73387, <Org>
73430 - 73440, <Location>
73468 - 73478, <Location>
73519 - 73540, <Org>
73572 - 73603, <Org>
73725 - 73735, <Location>
73772 - 73812, <Org>
73956 - 73977, <Org>
74028 - 74032, <Org>
74082 - 74087, <Location>
74430 - 74440, <Location>
74961 - 74968, <Location>
74971 - 74978, <Location>
75065 - 75084, <Org>
75088 - 75093, <Location>
75139 - 75160, <Org>
75263 - 75272, <Location>
75275 - 75285, <Location>
75288 - 75295, <Location>
75471 - 75478, <Location>
75508 - 75517, <Person>
75571 - 75581, <Person>
75586 - 75599, <Person>
75603 - 75612, <Person>
75640 - 75647, <Location>
75684 - 75697, <Person>
75724 - 75734, <Person>
75762 - 75772, <Person>
75811 - 75820, <Person>
75862 - 75871, <Person>
75917 - 75927, <Person>
75997 - 76007, <Person>
76024 - 76037, <Person>
76077 - 76084, <Location>
76088 - 76098, <Person>
76164 - 76173, <Person>
76283 - 76294, <Person>
76299 - 76314, <Person>
76348 - 76354, <Location>
76436 - 76447, <Location>
76452 - 76461, <Location>
76504 - 76515, <Location>
76540 - 76545, <Location>
76688 - 76698, <Person>
76811 - 76821, <Person>
76831 - 76837, <Person>
76975 - 76981, <Location>
76986 - 76993, <Location>
77002 - 77012, <Person>
77089 - 77102, <Person>
78319 - 78334, <Person>
78386 - 78393, <Person>
78479 - 78491, <Location>
78502 - 78506, <Org>
78568 - 78573, <Location>
78680 - 78688, <Person>
78721 - 78729, <Person>
78763 - 78781, <Person>
78853 - 78868, <Person>
78886 - 78896, <Location>
79130 - 79138, <Person>
79211 - 79218, <Person>
79295 - 79303, <Person>
79416 - 79423, <Location>
79513 - 79529, <Person>
79562 - 79571, <Person>
79611 - 79619, <Person>
79650 - 79656, <Person>
79686 - 79695, <Person>
79782 - 79790, <Person>
79855 - 79863, <Person>
79994 - 80001, <Person>
80051 - 80055, <Location>
80119 - 80127, <Person>
80296 - 80304, <Person>
80309 - 80331, <Person>
80349 - 80352, <Person>
80379 - 80386, <Location>
80427 - 80439, <Person>
80472 - 80479, <Location>
80486 - 80496, <Person>
80682 - 80694, <Location>
80712 - 80734, <Location>
80825 - 80833, <Location>
80836 - 80846, <Location>
80993 - 81003, <Location>
81028 - 81034, <Location>
81037 - 81047, <Location>
81054 - 81060, <Location>
81115 - 81129, <Person>
81132 - 81144, <Person>
81147 - 81161, <Person>
81168 - 81181, <Person>
81214 - 81224, <Person>
81227 - 81244, <Person>
81247 - 81259, <Person>
81262 - 81276, <Person>
81279 - 81288, <Person>
81291 - 81305, <Person>
81312 - 81330, <Person>
81333 - 81343, <Person>
81346 - 81360, <Person>
81363 - 81379, <Person>
81382 - 81392, <Person>
81406 - 81421, <Person>
81424 - 81438, <Person>
81462 - 81475, <Person>
81480 - 81495, <Person>
81526 - 81540, <Person>
81543 - 81560, <Person>
81563 - 81580, <Person>
81583 - 81599, <Person>
81604 - 81623, <Person>
81641 - 81656, <Person>
81661 - 81675, <Person>
81980 - 82002, <Location>
82072 - 82082, <Location>
82241 - 82257, <Org>
82261 - 82269, <Location>
82285 - 82293, <Org>
82328 - 82337, <Location>
82338 - 82352, <Org>
82396 - 82421, <Org>
82459 - 82470, <Location>
82473 - 82483, <Location>
82501 - 82549, <Org>
82782 - 82791, <Person>
82799 - 82824, <Org>
82877 - 82894, <Org>
84009 - 84025, <Person>
84080 - 84091, <Person>
84278 - 84285, <Person>
84298 - 84310, <Location>
84313 - 84325, <Location>
84328 - 84331, <Location>
84346 - 84355, <Location>
84358 - 84368, <Location>
84372 - 84389, <Person>
84474 - 84503, <Org>
84548 - 84568, <Org>
84589 - 84603, <Person>
84781 - 84792, <Person>
84901 - 84904, <Person>
84924 - 84954, <Org>
84988 - 84997, <Location>
85674 - 85684, <Person>
86281 - 86287, <Location>
86380 - 86388, <Location>
86405 - 86411, <Person>
86571 - 86576, <Location>
86579 - 86587, <Location>
86726 - 86736, <Person>
86741 - 86770, <Person>
86779 - 86786, <Person>
86817 - 86820, <Person>
87019 - 87022, <Person>
87314 - 87320, <Person>
87422 - 87428, <Person>
87579 - 87589, <Person>
87664 - 87670, <Location>
87743 - 87753, <Person>
88053 - 88056, <Person>
88115 - 88127, <Person>
88553 - 88557, <Person>
88776 - 88779, <Person>
88906 - 88909, <Person>
89018 - 89022, <Person>
89096 - 89106, <Person>
89210 - 89216, <Person>
89344 - 89353, <Location>
89991 - 90001, <Org>
90213 - 90219, <Person>
90223 - 90252, <Person>
90223 - 90252, <Person>
90748 - 90754, <Person>
91113 - 91119, <Person>
91464 - 91470, <Person>
91518 - 91526, <Org>
91812 - 91820, <Org>
92357 - 92363, <Location>
93075 - 93080, <Location>
93153 - 93159, <Location>
93163 - 93171, <Location>
93243 - 93251, <Location>
93403 - 93409, <Location>
93426 - 93439, <Location>
93446 - 93455, <Location>
93540 - 93546, <Location>
93699 - 93711, <Person>
93957 - 93968, <Location>
93972 - 93976, <Location>
94017 - 94027, <Person>
94106 - 94112, <Location>
94433 - 94440, <Location>
94443 - 94464, <Location>
94467 - 94474, <Location>
94504 - 94510, <Location>
94842 - 94846, <Location>
94927 - 94933, <Location>
95006 - 95012, <Location>
95065 - 95071, <Location>
95088 - 95092, <Location>
95311 - 95316, <Location>
95331 - 95337, <Location>
95366 - 95380, <Person>
95557 - 95571, <Person>
95617 - 95629, <Location>
95643 - 95657, <Person>
95799 - 95820, <Person>
95850 - 95857, <Location>
95860 - 95865, <Location>
95925 - 95929, <Org>
95961 - 95984, <Org>
96045 - 96049, <Org>
96204 - 96211, <Location>
96214 - 96221, <Location>
96240 - 96251, <Org>
96257 - 96264, <Location>
96298 - 96313, <Location>
96329 - 96336, <Person>
96516 - 96553, <Org>
96705 - 96712, <Person>
96830 - 96834, <Org>
96975 - 97008, <Org>
97075 - 97094, <Org>
97099 - 97111, <Org>
97141 - 97150, <Org>
97178 - 97212, <Org>
97498 - 97509, <Person>
97708 - 97714, <Location>
97717 - 97724, <Location>
97760 - 97810, <Org>
97991 - 97998, <Location>
98001 - 98006, <Location>
98074 - 98089, <Org>
98259 - 98268, <Org>
98311 - 98339, <Org>
98399 - 98425, <Org>
98438 - 98462, <Org>
98646 - 98674, <Org>
98646 - 98674, <Org>
98766 - 98774, <Org>
98920 - 98939, <Org>
99120 - 99124, <Org>
99177 - 99180, <Org>
99206 - 99220, <Person>
99264 - 99271, <Location>
99274 - 99280, <Location>
99380 - 99402, <Org>
99411 - 99427, <Org>
99432 - 99445, <Org>
99494 - 99500, <Location>
99505 - 99512, <Location>
99515 - 99521, <Person>
99552 - 99568, <Org>
99635 - 99643, <Person>
99673 - 99679, <Org>
99894 - 99900, <Org>
99977 - 99983, <Org>
100070 - 100076, <Person>
100259 - 100265, <Person>
100339 - 100342, <Org>
100403 - 100406, <Org>
100478 - 100494, <Org>
100524 - 100530, <Person>
100555 - 100561, <Location>
100585 - 100614, <Org>
100585 - 100614, <Org>
100706 - 100725, <Org>
100774 - 100789, <Org>
100906 - 100912, <Location>
100915 - 100919, <Location>
100970 - 100980, <Location>
101010 - 101040, <Person>
101076 - 101086, <Location>
101207 - 101221, <Person>
101569 - 101585, <Org>
101615 - 101624, <Person>
101629 - 101638, <Person>
101878 - 101888, <Location>
101904 - 101914, <Location>
101997 - 102023, <Org>
102052 - 102064, <Location>
102067 - 102074, <Location>
102082 - 102115, <Org>
102118 - 102122, <Org>
102188 - 102190, <Location>
102586 - 102590, <Org>
102608 - 102630, <Org>
102771 - 102778, <Org>
102809 - 102825, <Location>
102828 - 102835, <Location>
102867 - 102875, <Location>
102888 - 102901, <Person>
103150 - 103163, <Location>
103166 - 103173, <Location>
103293 - 103303, <Location>
103342 - 103364, <Location>
103370 - 103375, <Location>
103378 - 103385, <Location>
103424 - 103443, <Location>
103500 - 103508, <Location>
103511 - 103516, <Location>
103522 - 103535, <Location>
103538 - 103545, <Location>
103557 - 103570, <Location>
103578 - 103588, <Location>
103963 - 103971, <Location>
104249 - 104257, <Location>
104573 - 104581, <Location>
104780 - 104788, <Location>
104792 - 104809, <Location>
105483 - 105488, <Location>
105558 - 105574, <Location>
105874 - 105879, <Location>
106122 - 106135, <Location>
106196 - 106209, <Location>
106458 - 106468, <Location>
107218 - 107222, <Location>
107507 - 107512, <Location>
107521 - 107535, <Location>
107917 - 107931, <Person>
108606 - 108611, <Location>
109539 - 109548, <Location>
109665 - 109673, <Location>
110149 - 110154, <Location>
110220 - 110240, <Org>
110244 - 110252, <Location>
110400 - 110420, <Org>
110494 - 110499, <Location>
110866 - 110871, <Location>
110949 - 110954, <Location>
110962 - 111002, <Org>
111005 - 111009, <Org>
111045 - 111052, <Location>
111055 - 111062, <Location>
111243 - 111263, <Person>
111308 - 111318, <Person>
111329 - 111333, <Org>
111390 - 111397, <Location>
111435 - 111444, <Location>
111466 - 111481, <Location>
111522 - 111530, <Location>
111645 - 111674, <Org>
111743 - 111747, <Org>
111804 - 111832, <Location>
111944 - 111948, <Org>
112041 - 112045, <Org>
112132 - 112136, <Org>
112287 - 112315, <Person>
112368 - 112389, <Org>
112431 - 112449, <Org>
112619 - 112632, <Org>
112806 - 112820, <Person>
112884 - 112905, <Org>
112911 - 112920, <Person>
112923 - 112934, <Person>
112937 - 112954, <Person>
113004 - 113015, <Location>
113018 - 113028, <Location>
113137 - 113140, <Org>
113191 - 113204, <Person>
113208 - 113212, <Person>
113294 - 113298, <Person>
113310 - 113317, <Person>
113383 - 113390, <Person>
113402 - 113408, <Person>
113412 - 113416, <Person>
113452 - 113459, <Person>
113508 - 113516, <Person>
113549 - 113553, <Person>
113581 - 113587, <Person>
113604 - 113608, <Person>
113616 - 113622, <Person>
113674 - 113678, <Person>
113683 - 113689, <Person>
113714 - 113720, <Person>
113736 - 113743, <Person>
113747 - 113754, <Person>
113766 - 113770, <Person>
113779 - 113783, <Person>
113827 - 113831, <Person>
113847 - 113851, <Person>
113875 - 113882, <Person>
113889 - 113895, <Person>
113919 - 113923, <Person>
113938 - 113941, <Org>
114010 - 114015, <Person>
114021 - 114028, <Person>
114076 - 114080, <Person>
114219 - 114224, <Person>
