
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
201 - 215, <Person>
75547 - 75574, <Org>
75577 - 75586, <Location>
75604 - 75615, <Person>
75604 - 75615, <Person>
75617 - 75625, <Person>
75820 - 75828, <Org>
75985 - 75999, <Person>
76065 - 76070, <Org>
76204 - 76211, <Person>
77116 - 77126, <Person>
77110 - 77126, <Org>
77552 - 77568, <Org>
77546 - 77551, <Org>
77691 - 77701, <Org>
77725 - 77741, <Person>
77778 - 77782, <Person>
78096 - 78104, <Person>
78222 - 78226, <Person>
78370 - 78374, <Person>
78793 - 78797, <Person>
78897 - 78904, <Location>
78928 - 78952, <Org>
79107 - 79116, <Person>
79132 - 79138, <Person>
79173 - 79185, <Location>
79228 - 79238, <Person>
79524 - 79528, <Person>
79623 - 79629, <Org>
79613 - 79622, <Person>
79645 - 79653, <Person>
79855 - 79858, <Org>
79845 - 79854, <Org>
80008 - 80028, <Person>
80086 - 80096, <Person>
80532 - 80538, <Location>
80550 - 80554, <Location>
80571 - 80576, <Location>
81134 - 81138, <Location>
82241 - 82245, <Location>
82270 - 82274, <Location>
82637 - 82643, <Person>
82653 - 82662, <Org>
82664 - 82668, <Person>
82683 - 82687, <Org>
82697 - 82706, <Person>
82900 - 82904, <Person>
82958 - 82965, <Person>
83174 - 83188, <Location>
83417 - 83421, <Person>
83712 - 83725, <Person>
83875 - 83891, <Location>
84034 - 84048, <Person>
84034 - 84048, <Person>
84086 - 84104, <Person>
84086 - 84104, <Person>
84161 - 84195, <Org>
84197 - 84200, <Org>
84280 - 84283, <Location>
84450 - 84453, <Location>
84454 - 84466, <Person>
84454 - 84466, <Person>
84635 - 84641, <Location>
84820 - 84826, <Location>
84828 - 84835, <Location>
84838 - 84848, <Location>
84869 - 84874, <Location>
84960 - 84970, <Org>
85076 - 85095, <Person>
85340 - 85344, <Location>
85518 - 85529, <Org>
85518 - 85529, <Org>
85518 - 85529, <Org>
85709 - 85717, <Org>
85722 - 85725, <Org>
85979 - 85983, <Location>
86146 - 86157, <Location>
86159 - 86167, <Location>
86169 - 86179, <Location>
86181 - 86189, <Location>
86197 - 86203, <Location>
86238 - 86242, <Location>
86328 - 86332, <Location>
86401 - 86405, <Location>
86506 - 86525, <Person>
86506 - 86525, <Person>
86607 - 86623, <Location>
86768 - 86772, <Location>
86974 - 86985, <Location>
87073 - 87077, <Location>
87710 - 87714, <Location>
87875 - 87881, <Location>
87883 - 87890, <Location>
87893 - 87904, <Location>
88121 - 88127, <Location>
88231 - 88246, <Person>
88461 - 88464, <Location>
88465 - 88479, <Person>
88465 - 88479, <Person>
88733 - 88744, <Org>
89127 - 89134, <Org>
90506 - 90516, <Person>
90911 - 90937, <Org>
91030 - 91037, <Org>
91054 - 91061, <Person>
91054 - 91061, <Person>
91075 - 91085, <Person>
91021 - 91029, <Person>
91183 - 91189, <Org>
92883 - 92896, <Person>
94239 - 94245, <Location>
94267 - 94287, <Location>
94338 - 94341, <Location>
94480 - 94485, <Org>
94681 - 94691, <Org>
94813 - 94821, <Org>
94856 - 94859, <Location>
94970 - 94983, <Person>
95941 - 95947, <Person>
96294 - 96298, <Person>
96301 - 96313, <Person>
96586 - 96592, <Location>
96595 - 96604, <Person>
96617 - 96631, <Person>
96794 - 96815, <Org>
97163 - 97174, <Person>
97579 - 97584, <Person>
97856 - 97872, <Person>
97909 - 97921, <Person>
97935 - 97941, <Location>
97944 - 97953, <Person>
98928 - 98933, <Person>
99253 - 99263, <Org>
99278 - 99288, <Person>
99323 - 99329, <Location>
99442 - 99465, <Org>
99644 - 99648, <Org>
99633 - 99643, <Org>
100953 - 100983, <Org>
100953 - 100983, <Org>
100953 - 100983, <Org>
101775 - 101787, <Person>
103416 - 103430, <Person>
103488 - 103505, <Location>
103765 - 103776, <Org>
104601 - 104612, <Location>
104705 - 104711, <Location>
104705 - 104711, <Location>
104938 - 104947, <Person>
105426 - 105432, <Location>
106058 - 106063, <Person>
106151 - 106155, <Org>
106274 - 106280, <Location>
106782 - 106798, <Person>
107462 - 107485, <Location>
107583 - 107588, <Location>
107590 - 107599, <Location>
107601 - 107606, <Location>
107615 - 107621, <Location>
107729 - 107753, <Org>
108139 - 108145, <Location>
108151 - 108158, <Location>
108268 - 108271, <Org>
108308 - 108318, <Person>
108496 - 108502, <Location>
108601 - 108619, <Person>
108753 - 108762, <Person>
109401 - 109411, <Location>
109996 - 110002, <Location>
110097 - 110102, <Person>
110111 - 110139, <Org>
110254 - 110270, <Org>
110931 - 110937, <Location>
111040 - 111060, <Person>
111339 - 111345, <Location>
111432 - 111438, <Location>
111842 - 111860, <Person>
112190 - 112196, <Location>
112697 - 112711, <Person>
112826 - 112836, <Org>
112870 - 112879, <Person>
114152 - 114163, <Org>
114169 - 114177, <Org>
114297 - 114315, <Org>
115473 - 115489, <Person>
115616 - 115626, <Person>
115806 - 115814, <Person>
115907 - 115913, <Location>
115939 - 115966, <Location>
115971 - 115988, <Location>
116093 - 116104, <Person>
116112 - 116118, <Org>
116135 - 116141, <Location>
116695 - 116701, <Location>
117688 - 117693, <Person>
118840 - 118861, <Person>
118890 - 118899, <Org>
118880 - 118889, <Org>
119119 - 119135, <Person>
119237 - 119241, <Person>
120978 - 120983, <Location>
121057 - 121064, <Location>
121036 - 121064, <Org>
121116 - 121123, <Location>
121137 - 121151, <Org>
121154 - 121159, <Location>
121224 - 121241, <Org>
121210 - 121223, <Person>
121298 - 121311, <Org>
121298 - 121311, <Org>
121322 - 121341, <Location>
121345 - 121362, <Location>
121450 - 121457, <Location>
121474 - 121477, <Person>
121690 - 121708, <Org>
121857 - 121868, <Person>
122078 - 122113, <Org>
122457 - 122468, <Person>
123480 - 123486, <Location>
123849 - 123860, <Location>
124856 - 124871, <Person>
124912 - 124925, <Org>
125109 - 125116, <Person>
125845 - 125881, <Org>
125921 - 125925, <Org>
125949 - 125952, <Org>
125982 - 125987, <Person>
126089 - 126109, <Location>
126049 - 126124, <Org>
126151 - 126169, <Person>
126151 - 126169, <Person>
126182 - 126224, <Org>
126182 - 126224, <Org>
126182 - 126224, <Org>
126294 - 126298, <Org>
126301 - 126308, <Org>
126418 - 126431, <Location>
126591 - 126595, <Org>
127145 - 127156, <Person>
127189 - 127203, <Org>
127215 - 127219, <Person>
127375 - 127378, <Org>
127640 - 127653, <Person>
127680 - 127689, <Person>
127721 - 127730, <Person>
128555 - 128571, <Person>
129677 - 129683, <Location>
130425 - 130431, <Location>
130730 - 130736, <Location>
132019 - 132026, <Location>
132146 - 132154, <Person>
132247 - 132263, <Location>
133356 - 133362, <Location>
134667 - 134673, <Location>
136363 - 136376, <Person>
136844 - 136852, <Person>
136855 - 136858, <Person>
137070 - 137077, <Location>
137079 - 137085, <Location>
137216 - 137231, <Person>
137368 - 137379, <Org>
137405 - 137412, <Person>
137415 - 137423, <Person>
137452 - 137475, <Org>
137521 - 137553, <Org>
137607 - 137619, <Person>
137776 - 137795, <Person>
137751 - 137760, <Person>
137962 - 137981, <Org>
138028 - 138041, <Person>
138028 - 138041, <Person>
138100 - 138119, <Person>
138100 - 138119, <Person>
138343 - 138357, <Person>
138343 - 138357, <Person>
138629 - 138637, <Org>
138656 - 138659, <Org>
139650 - 139657, <Person>
139682 - 139695, <Person>
139697 - 139707, <Person>
139709 - 139722, <Person>
139725 - 139741, <Person>
140672 - 140685, <Person>
140672 - 140685, <Person>
140823 - 140831, <Org>
140841 - 140855, <Org>
140931 - 140944, <Person>
140956 - 140966, <Person>
140931 - 140944, <Person>
140978 - 140991, <Org>
141027 - 141045, <Org>
141287 - 141290, <Org>
141446 - 141462, <Org>
141659 - 141665, <Location>
141861 - 141880, <Org>
141861 - 141880, <Org>
141852 - 141880, <Org>
141976 - 141997, <Org>
142052 - 142056, <Org>
142071 - 142077, <Location>
142221 - 142231, <Location>
142622 - 142663, <Org>
142676 - 142685, <Person>
142676 - 142685, <Person>
142739 - 142744, <Org>
142775 - 142815, <Org>
142775 - 142815, <Org>
142775 - 142815, <Org>
142859 - 142865, <Location>
143180 - 143193, <Person>
143195 - 143208, <Person>
143229 - 143246, <Person>
143229 - 143246, <Person>
143415 - 143421, <Location>
143535 - 143548, <Person>
143602 - 143612, <Person>
144011 - 144029, <Person>
144194 - 144208, <Person>
144194 - 144208, <Person>
144976 - 144983, <Location>
145212 - 145223, <Person>
145257 - 145273, <Person>
145374 - 145383, <Person>
145400 - 145415, <Person>
145400 - 145415, <Person>
145453 - 145457, <Location>
145531 - 145541, <Org>
145531 - 145541, <Org>
145650 - 145656, <Location>
145673 - 145677, <Org>
146009 - 146022, <Person>
146139 - 146155, <Person>
146157 - 146176, <Person>
146242 - 146257, <Org>
146393 - 146396, <Org>
147125 - 147146, <Location>
147148 - 147162, <Location>
147483 - 147506, <Org>
147483 - 147506, <Org>
147483 - 147506, <Org>
147930 - 147939, <Org>
148318 - 148339, <Org>
148749 - 148755, <Location>
149120 - 149139, <Org>
149410 - 149425, <Person>
149410 - 149425, <Person>
149462 - 149474, <Location>
149512 - 149522, <Person>
149686 - 149700, <Person>
149824 - 149830, <Org>
149955 - 149971, <Person>
149955 - 149971, <Person>
150038 - 150048, <Person>
150173 - 150184, <Location>
150190 - 150205, <Person>
150306 - 150310, <Location>
150415 - 150421, <Location>
150550 - 150562, <Location>
150828 - 150834, <Person>
150941 - 150954, <Person>
150960 - 150965, <Person>
150992 - 150996, <Person>
151041 - 151059, <Org>
151041 - 151059, <Org>
151041 - 151059, <Org>
151082 - 151087, <Org>
151157 - 151169, <Person>
151243 - 151249, <Person>
151266 - 151272, <Location>
151358 - 151377, <Org>
151380 - 151396, <Person>
151512 - 151520, <Person>
151512 - 151520, <Person>
151522 - 151541, <Person>
151688 - 151700, <Org>
151898 - 151916, <Person>
152078 - 152081, <Location>
152091 - 152111, <Person>
152468 - 152471, <Location>
152502 - 152508, <Location>
152567 - 152571, <Person>
152567 - 152571, <Person>
152613 - 152618, <Person>
152957 - 152964, <Person>
153010 - 153016, <Location>
153166 - 153170, <Person>
153277 - 153283, <Location>
153350 - 153358, <Person>
154822 - 154828, <Location>
154831 - 154838, <Location>
155125 - 155140, <Person>
156062 - 156067, <Person>
156159 - 156164, <Person>
156252 - 156260, <Person>
156312 - 156327, <Person>
156329 - 156343, <Person>
156416 - 156429, <Person>
156490 - 156506, <Person>
156612 - 156628, <Person>
156731 - 156748, <Person>
156794 - 156811, <Location>
156750 - 156755, <Person>
156857 - 156883, <Location>
156975 - 156986, <Person>
157047 - 157087, <Org>
157164 - 157178, <Org>
157230 - 157257, <Person>
157756 - 157762, <Location>
157949 - 157955, <Location>
158123 - 158138, <Location>
158153 - 158157, <Person>
161769 - 161779, <Person>
161831 - 161837, <Person>
161999 - 162010, <Location>
162140 - 162144, <Person>
163066 - 163070, <Person>
163072 - 163077, <Person>
163080 - 163087, <Person>
163293 - 163301, <Location>
163320 - 163329, <Location>
163312 - 163319, <Location>
163332 - 163338, <Location>
163342 - 163358, <Location>
163360 - 163376, <Location>
163360 - 163376, <Location>
163396 - 163402, <Location>
163404 - 163413, <Location>
163631 - 163636, <Location>
164081 - 164087, <Location>
164952 - 164956, <Location>
165237 - 165247, <Location>
165252 - 165256, <Location>
165297 - 165302, <Location>
165616 - 165620, <Person>
166456 - 166466, <Location>
166530 - 166536, <Location>
166538 - 166555, <Location>
166602 - 166604, <Location>
166921 - 166927, <Location>
168589 - 168604, <Person>
169206 - 169224, <Person>
169206 - 169224, <Person>
169456 - 169471, <Org>
169456 - 169471, <Org>
169456 - 169471, <Org>
169749 - 169757, <Person>
171496 - 171506, <Person>
171496 - 171506, <Person>
173420 - 173429, <Person>
174130 - 174143, <Person>
174188 - 174197, <Person>
174391 - 174401, <Person>
174391 - 174401, <Person>
174637 - 174643, <Location>
175129 - 175139, <Person>
175563 - 175569, <Location>
175828 - 175830, <Location>
176137 - 176147, <Person>
176379 - 176382, <Org>
176795 - 176815, <Person>
177190 - 177195, <Person>
177244 - 177257, <Person>
177408 - 177416, <Person>
177418 - 177429, <Person>
177431 - 177443, <Person>
177445 - 177454, <Person>
177550 - 177569, <Org>
177592 - 177621, <Org>
177646 - 177654, <Person>
177689 - 177709, <Org>
177832 - 177838, <Location>
177841 - 177848, <Location>
177957 - 177964, <Person>
177957 - 177964, <Person>
177985 - 177993, <Person>
178016 - 178027, <Person>
178030 - 178044, <Person>
178369 - 178371, <Org>
179368 - 179385, <Person>
179347 - 179354, <Person>
179532 - 179539, <Location>
179773 - 179780, <Location>
179781 - 179787, <Person>
179928 - 179939, <Person>
180101 - 180112, <Person>
180114 - 180118, <Person>
180271 - 180276, <Location>
180515 - 180530, <Person>
180622 - 180626, <Location>
180693 - 180699, <Location>
180825 - 180832, <Location>
180837 - 180844, <Location>
180853 - 180861, <Person>
180879 - 180887, <Person>
180890 - 180903, <Person>
181821 - 181831, <Org>
181875 - 181881, <Location>
182085 - 182091, <Location>
182319 - 182326, <Location>
182329 - 182335, <Location>
182532 - 182539, <Location>
182641 - 182647, <Location>
182774 - 182780, <Location>
183168 - 183172, <Org>
183521 - 183536, <Person>
183827 - 183834, <Org>
183943 - 183947, <Org>
184054 - 184072, <Org>
184054 - 184072, <Org>
184084 - 184106, <Org>
184162 - 184176, <Person>
184162 - 184176, <Person>
184676 - 184700, <Org>
184961 - 184980, <Person>
184961 - 184980, <Person>
186119 - 186127, <Person>
187135 - 187148, <Person>
187402 - 187425, <Org>
187402 - 187425, <Org>
187699 - 187706, <Location>
187922 - 187926, <Org>
188113 - 188123, <Person>
188197 - 188211, <Person>
188839 - 188842, <Org>
191335 - 191342, <Location>
214586 - 214603, <Org>
214606 - 214617, <Person>
215454 - 215457, <Location>
216455 - 216458, <Location>
216541 - 216544, <Location>
217238 - 217241, <Location>
217700 - 217702, <Location>
217703 - 217717, <Person>
217703 - 217717, <Person>
217924 - 217945, <Org>
218617 - 218635, <Person>
220126 - 220140, <Person>
220126 - 220140, <Person>
220251 - 220259, <Org>
221026 - 221035, <Person>
221065 - 221075, <Person>
223000 - 223009, <Person>
224752 - 224762, <Location>
224776 - 224779, <Location>
225632 - 225642, <Org>
226136 - 226171, <Org>
226136 - 226171, <Org>
227325 - 227340, <Location>
227497 - 227503, <Org>
227497 - 227503, <Org>
228261 - 228306, <Org>
228745 - 228781, <Org>
230948 - 230957, <Org>
230948 - 230957, <Org>
230966 - 230974, <Person>
230978 - 230983, <Org>
230978 - 230983, <Org>
234544 - 234563, <Org>
235269 - 235273, <Location>
240943 - 240955, <Org>
241447 - 241450, <Location>
241515 - 241520, <Location>
241715 - 241721, <Location>
242569 - 242605, <Org>
243587 - 243593, <Location>
243741 - 243747, <Location>
244321 - 244327, <Location>
244473 - 244479, <Location>
244730 - 244736, <Location>
244811 - 244817, <Location>
245116 - 245122, <Location>
245125 - 245136, <Location>
245139 - 245150, <Location>
245304 - 245310, <Location>
245331 - 245348, <Org>
245351 - 245354, <Org>
245390 - 245396, <Location>
245398 - 245406, <Location>
245409 - 245419, <Location>
245589 - 245595, <Location>
246776 - 246782, <Location>
247264 - 247270, <Location>
247553 - 247559, <Location>
247561 - 247575, <Location>
247708 - 247714, <Location>
248372 - 248378, <Org>
248372 - 248378, <Org>
248779 - 248785, <Location>
249223 - 249229, <Location>
249352 - 249358, <Location>
250078 - 250084, <Location>
250309 - 250312, <Org>
250287 - 250312, <Org>
250796 - 250804, <Org>
252750 - 252756, <Location>
253640 - 253646, <Location>
253752 - 253758, <Location>
254041 - 254047, <Location>
254925 - 254931, <Location>
254954 - 254960, <Location>
255036 - 255041, <Location>
255094 - 255100, <Location>
255103 - 255106, <Org>
255203 - 255209, <Location>
255277 - 255283, <Location>
255323 - 255331, <Org>
255333 - 255350, <Org>
255353 - 255364, <Person>
255412 - 255418, <Location>
256882 - 256888, <Location>
256926 - 256932, <Location>
257016 - 257022, <Location>
257047 - 257062, <Person>
257951 - 257964, <Person>
258006 - 258021, <Person>
258006 - 258021, <Person>
258042 - 258055, <Location>
258058 - 258064, <Location>
258066 - 258071, <Location>
258082 - 258096, <Location>
258099 - 258102, <Location>
258418 - 258424, <Location>
258933 - 258951, <Person>
258968 - 258971, <Location>
259007 - 259029, <Org>
259161 - 259167, <Location>
259319 - 259322, <Location>
259631 - 259637, <Location>
259820 - 259823, <Location>
259787 - 259823, <Org>
259852 - 259859, <Person>
259877 - 259883, <Location>
259982 - 259988, <Location>
260184 - 260190, <Location>
260843 - 260849, <Location>
261079 - 261085, <Location>
261137 - 261177, <Org>
261137 - 261177, <Org>
261137 - 261177, <Org>
261137 - 261177, <Org>
261222 - 261238, <Person>
261326 - 261330, <Org>
261473 - 261480, <Location>
261542 - 261547, <Location>
261728 - 261734, <Location>
261792 - 261798, <Location>
261973 - 261990, <Org>
261993 - 262004, <Person>
262199 - 262205, <Location>
262374 - 262380, <Location>
262642 - 262648, <Person>
262944 - 262979, <Org>
262944 - 262979, <Org>
263088 - 263098, <Location>
263132 - 263138, <Location>
263204 - 263213, <Org>
263203 - 263214, <Org>
263217 - 263229, <Org>
263217 - 263229, <Org>
263241 - 263273, <Org>
263241 - 263273, <Org>
263298 - 263329, <Org>
263498 - 263500, <Location>
263484 - 263500, <Org>
263545 - 263551, <Location>
263647 - 263653, <Location>
264291 - 264297, <Location>
264554 - 264557, <Org>
264573 - 264584, <Location>
264735 - 264745, <Person>
264735 - 264745, <Person>
264772 - 264778, <Location>
264794 - 264810, <Location>
264907 - 264918, <Person>
265054 - 265064, <Location>
265066 - 265069, <Location>
265265 - 265268, <Location>
265389 - 265403, <Person>
265517 - 265542, <Person>
265543 - 265562, <Org>
265517 - 265542, <Person>
265603 - 265608, <Person>
265801 - 265812, <Location>
265872 - 265883, <Person>
265931 - 265934, <Location>
265965 - 265979, <Person>
266246 - 266257, <Location>
266328 - 266342, <Location>
266503 - 266532, <Org>
266503 - 266532, <Org>
266534 - 266539, <Org>
266534 - 266539, <Org>
266543 - 266559, <Org>
266543 - 266559, <Org>
266925 - 266938, <Person>
266925 - 266938, <Person>
266947 - 266953, <Person>
269235 - 269243, <Location>
269290 - 269293, <Location>
269294 - 269299, <Person>
269294 - 269299, <Person>
269633 - 269645, <Org>
269665 - 269672, <Location>
269677 - 269680, <Location>
269706 - 269716, <Person>
270998 - 271001, <Location>
271003 - 271011, <Location>
271738 - 271764, <Person>
271769 - 271776, <Person>
271738 - 271764, <Person>
271820 - 271838, <Person>
271820 - 271838, <Person>
287281 - 287289, <Location>
287246 - 287289, <Org>
287411 - 287429, <Location>
288811 - 288836, <Org>
289839 - 289845, <Org>
290015 - 290066, <Org>
290636 - 290651, <Org>
291171 - 291192, <Org>
291500 - 291513, <Org>
291792 - 291805, <Person>
291991 - 291998, <Location>
292095 - 292102, <Person>
292118 - 292121, <Org>
292326 - 292332, <Org>
292761 - 292767, <Location>
292769 - 292785, <Location>
292788 - 292799, <Location>
293062 - 293072, <Org>
293087 - 293094, <Person>
293176 - 293192, <Location>
293362 - 293379, <Org>
294894 - 294904, <Person>
295005 - 295010, <Org>
295040 - 295057, <Org>
295303 - 295310, <Org>
295542 - 295552, <Location>
295555 - 295565, <Location>
296068 - 296073, <Person>
296176 - 296201, <Org>
296169 - 296175, <Person>
296232 - 296256, <Org>
296376 - 296383, <Location>
296398 - 296406, <Org>
297026 - 297037, <Location>
297881 - 297889, <Org>
298054 - 298058, <Org>
298190 - 298194, <Org>
298209 - 298223, <Person>
298410 - 298418, <Person>
299290 - 299311, <Location>
299298 - 299304, <Location>
299306 - 299311, <Location>
299313 - 299325, <Location>
299327 - 299344, <Location>
299346 - 299358, <Location>
299360 - 299365, <Location>
299367 - 299370, <Location>
299372 - 299383, <Location>
299385 - 299393, <Location>
299425 - 299438, <Location>
299441 - 299461, <Location>
299835 - 299842, <Location>
299939 - 299955, <Person>
300034 - 300041, <Person>
300304 - 300314, <Location>
301115 - 301122, <Person>
301485 - 301506, <Location>
301473 - 301480, <Person>
301631 - 301659, <Person>
301955 - 301965, <Person>
301977 - 301985, <Location>
