
#####################################################################################################
###################################MATCHES###########################################################
#####################################################################################################
28 - 77, <Org>
9889 - 9905, <Person>
9976 - 10002, <Location>
10042 - 10057, <Location>
10062 - 10070, <Location>
10110 - 10145, <Org>
10158 - 10188, <Org>
10201 - 10205, <Org>
10249 - 10262, <Person>
10294 - 10312, <Location>
10316 - 10329, <Location>
10332 - 10336, <Location>
10581 - 10602, <Org>
10606 - 10636, <Org>
10656 - 10682, <Person>
10687 - 10708, <Person>
10713 - 10728, <Person>
10775 - 10798, <Org>
10811 - 10846, <Org>
11366 - 11385, <Person>
11553 - 11577, <Org>
11708 - 11719, <Location>
11722 - 11732, <Location>
11745 - 11755, <Person>
11758 - 11770, <Person>
11773 - 11787, <Person>
11810 - 11820, <Person>
11839 - 11846, <Person>
11942 - 11954, <Person>
12105 - 12116, <Person>
12121 - 12133, <Person>
12397 - 12406, <Person>
12707 - 12715, <Person>
12757 - 12769, <Person>
13543 - 13546, <Org>
13826 - 13830, <Org>
13918 - 13932, <Org>
13969 - 13986, <Org>
14077 - 14089, <Person>
14095 - 14100, <Person>
14105 - 14112, <Person>
14335 - 14339, <Org>
14902 - 14908, <Location>
16213 - 16230, <Person>
16233 - 16245, <Person>
18715 - 18730, <Org>
18739 - 18755, <Person>
19537 - 19550, <Person>
19568 - 19577, <Org>
19756 - 19777, <Org>
19781 - 19790, <Location>
19793 - 19803, <Location>
19921 - 19940, <Org>
19944 - 19957, <Location>
19960 - 19970, <Location>
20262 - 20269, <Location>
20639 - 20659, <Org>
20739 - 20747, <Location>
20891 - 20898, <Location>
20961 - 20983, <Location>
21059 - 21068, <Location>
21149 - 21156, <Location>
21224 - 21229, <Location>
21257 - 21274, <Org>
21284 - 21317, <Org>
21320 - 21325, <Org>
21340 - 21352, <Org>
21612 - 21617, <Location>
21723 - 21754, <Org>
21873 - 21878, <Org>
21970 - 21986, <Org>
22050 - 22065, <Org>
22133 - 22148, <Org>
22339 - 22354, <Org>
22793 - 22809, <Org>
22828 - 22847, <Org>
22863 - 22879, <Org>
22896 - 22916, <Org>
22998 - 23010, <Org>
23048 - 23073, <Org>
23109 - 23128, <Org>
23146 - 23170, <Org>
23174 - 23180, <Location>
23216 - 23237, <Org>
23288 - 23298, <Location>
23340 - 23347, <Location>
23381 - 23388, <Location>
23423 - 23430, <Location>
23464 - 23471, <Location>
23523 - 23544, <Org>
23547 - 23554, <Location>
23590 - 23596, <Location>
23599 - 23604, <Location>
23631 - 23639, <Org>
23642 - 23647, <Location>
23694 - 23702, <Org>
23705 - 23712, <Location>
23729 - 23748, <Org>
23751 - 23758, <Location>
24313 - 24332, <Person>
24351 - 24381, <Person>
24398 - 24427, <Person>
24449 - 24464, <Person>
24502 - 24530, <Person>
24549 - 24574, <Person>
24595 - 24609, <Person>
24659 - 24674, <Person>
24692 - 24713, <Person>
24730 - 24763, <Person>
24784 - 24798, <Person>
24804 - 24809, <Person>
24891 - 24920, <Person>
24942 - 24974, <Person>
24994 - 25026, <Person>
25045 - 25079, <Person>
25098 - 25135, <Person>
25166 - 25168, <Org>
25185 - 25187, <Org>
25238 - 25240, <Org>
25287 - 25292, <Location>
25339 - 25341, <Org>
25451 - 25460, <Location>
25473 - 25482, <Location>
25515 - 25517, <Org>
25566 - 25568, <Org>
25584 - 25623, <Org>
25684 - 25698, <Location>
25701 - 25706, <Location>
25713 - 25752, <Org>
25832 - 25841, <Org>
25912 - 25949, <Org>
26174 - 26190, <Org>
26268 - 26278, <Location>
26534 - 26536, <Org>
26580 - 26585, <Location>
26757 - 26759, <Org>
27130 - 27144, <Person>
27147 - 27158, <Person>
27163 - 27176, <Person>
27231 - 27243, <Org>
27255 - 27257, <Org>
27301 - 27318, <Location>
27485 - 27492, <Person>
27514 - 27526, <Person>
27529 - 27542, <Person>
27547 - 27561, <Person>
27678 - 27680, <Org>
27821 - 27823, <Org>
27896 - 27898, <Org>
28115 - 28117, <Org>
28198 - 28207, <Location>
28243 - 28245, <Org>
28273 - 28281, <Location>
28284 - 28292, <Location>
28334 - 28336, <Org>
28413 - 28429, <Person>
28432 - 28440, <Person>
28443 - 28457, <Person>
28460 - 28488, <Person>
28460 - 28488, <Person>
28491 - 28504, <Person>
28507 - 28520, <Person>
28525 - 28538, <Person>
28591 - 28593, <Org>
28597 - 28605, <Location>
28637 - 28648, <Person>
28651 - 28667, <Person>
28670 - 28682, <Person>
28685 - 28698, <Person>
28701 - 28746, <Person>
28701 - 28746, <Person>
28834 - 28848, <Person>
28851 - 28863, <Person>
28866 - 28879, <Person>
28882 - 28896, <Person>
28899 - 28912, <Person>
28915 - 28926, <Person>
28931 - 28942, <Person>
28976 - 28985, <Location>
28990 - 28995, <Location>
28999 - 29001, <Org>
29200 - 29209, <Location>
29322 - 29324, <Org>
29328 - 29337, <Location>
29352 - 29360, <Location>
29374 - 29405, <Org>
29471 - 29483, <Person>
29501 - 29510, <Org>
29517 - 29529, <Person>
29532 - 29545, <Person>
29586 - 29598, <Person>
29741 - 29745, <Org>
29769 - 29780, <Org>
29825 - 29840, <Org>
29918 - 29944, <Org>
29948 - 29950, <Org>
30022 - 30038, <Person>
30111 - 30113, <Org>
30118 - 30120, <Org>
30238 - 30240, <Org>
30268 - 30291, <Org>
30304 - 30306, <Org>
30355 - 30370, <Org>
30413 - 30431, <Org>
30502 - 30551, <Org>
30502 - 30551, <Org>
30502 - 30572, <Person>
30577 - 30582, <Org>
30583 - 30608, <Person>
30679 - 30696, <Org>
30749 - 30751, <Org>
30797 - 30808, <Org>
30812 - 30821, <Location>
31045 - 31054, <Location>
31168 - 31183, <Location>
31208 - 31215, <Location>
31246 - 31269, <Location>
31273 - 31288, <Location>
31344 - 31351, <Location>
31356 - 31369, <Location>
31483 - 31503, <Location>
31507 - 31522, <Location>
31795 - 31810, <Location>
31815 - 31832, <Location>
32012 - 32018, <Person>
32094 - 32101, <Person>
32104 - 32118, <Person>
32121 - 32125, <Person>
32145 - 32166, <Person>
32267 - 32281, <Person>
32302 - 32308, <Person>
32357 - 32368, <Location>
32406 - 32428, <Org>
32433 - 32441, <Org>
32445 - 32451, <Person>
32486 - 32492, <Person>
32519 - 32536, <Org>
32552 - 32577, <Person>
32668 - 32676, <Org>
32753 - 32795, <Location>
32894 - 32905, <Person>
32909 - 32915, <Location>
32918 - 32928, <Location>
33052 - 33069, <Person>
33217 - 33229, <Person>
33234 - 33250, <Person>
33362 - 33371, <Person>
33430 - 33450, <Person>
33609 - 33628, <Person>
33716 - 33723, <Location>
33848 - 33855, <Location>
33873 - 33884, <Person>
33891 - 33909, <Person>
33912 - 33933, <Person>
33938 - 33955, <Person>
34104 - 34134, <Org>
34246 - 34253, <Location>
34305 - 34325, <Person>
34331 - 34337, <Location>
34410 - 34437, <Person>
34569 - 34583, <Location>
34716 - 34722, <Location>
34777 - 34799, <Location>
34802 - 34818, <Location>
34821 - 34826, <Location>
34929 - 34935, <Location>
34956 - 34961, <Location>
35009 - 35017, <Location>
36487 - 36519, <Person>
37347 - 37359, <Person>
37476 - 37510, <Location>
37588 - 37595, <Location>
37601 - 37609, <Location>
37625 - 37637, <Location>
37743 - 37773, <Location>
38207 - 38218, <Person>
38223 - 38233, <Location>
38272 - 38283, <Location>
38299 - 38321, <Org>
38552 - 38556, <Person>
38602 - 38623, <Org>
38709 - 38724, <Person>
38744 - 38773, <Org>
38836 - 38852, <Person>
38856 - 38869, <Person>
38880 - 38884, <Person>
38888 - 38914, <Org>
38964 - 38981, <Person>
39134 - 39153, <Location>
39270 - 39281, <Person>
39639 - 39653, <Location>
39657 - 39663, <Location>
39708 - 39716, <Location>
39708 - 39738, <Org>
39760 - 39782, <Person>
39806 - 39822, <Person>
40123 - 40138, <Location>
40141 - 40169, <Location>
40141 - 40169, <Location>
40273 - 40287, <Location>
40354 - 40388, <Org>
40429 - 40457, <Org>
40484 - 40498, <Location>
40501 - 40509, <Location>
40513 - 40553, <Org>
40556 - 40560, <Org>
40697 - 40703, <Location>
40719 - 40727, <Location>
40730 - 40737, <Location>
40921 - 40929, <Location>
40967 - 40987, <Org>
41127 - 41133, <Location>
41197 - 41205, <Location>
41228 - 41264, <Org>
41485 - 41491, <Location>
41515 - 41533, <Org>
43176 - 43205, <Org>
43744 - 43768, <Org>
43907 - 43916, <Org>
44009 - 44017, <Location>
44197 - 44221, <Org>
44252 - 44274, <Org>
44474 - 44480, <Location>
44503 - 44527, <Org>
44584 - 44608, <Org>
44657 - 44698, <Org>
44701 - 44705, <Org>
44790 - 44798, <Org>
44879 - 44885, <Location>
45839 - 45841, <Org>
45847 - 45855, <Org>
46086 - 46103, <Person>
46220 - 46244, <Org>
46602 - 46613, <Person>
46664 - 46668, <Person>
46698 - 46707, <Location>
46773 - 46779, <Location>
46871 - 46898, <Org>
46944 - 46972, <Org>
47003 - 47027, <Org>
47031 - 47038, <Location>
47041 - 47046, <Location>
47112 - 47120, <Location>
47242 - 47251, <Location>
47254 - 47263, <Location>
47321 - 47330, <Location>
47333 - 47335, <Location>
47423 - 47430, <Location>
47509 - 47522, <Person>
47737 - 47750, <Location>
47858 - 47871, <Person>
48217 - 48223, <Person>
48276 - 48282, <Person>
48847 - 48884, <Org>
49135 - 49154, <Person>
49233 - 49250, <Person>
49364 - 49370, <Person>
49692 - 49701, <Person>
49840 - 49853, <Person>
49962 - 49971, <Person>
50272 - 50281, <Person>
50447 - 50459, <Person>
50603 - 50616, <Person>
50682 - 50698, <Person>
50703 - 50769, <Org>
50703 - 50769, <Org>
50776 - 50790, <Org>
50887 - 50896, <Person>
51044 - 51053, <Person>
51073 - 51105, <Org>
51110 - 51147, <Org>
51548 - 51561, <Person>
51655 - 51675, <Org>
51683 - 51691, <Org>
51696 - 51713, <Person>
51716 - 51722, <Person>
51727 - 51740, <Person>
51771 - 51778, <Person>
51782 - 51819, <Org>
52177 - 52192, <Person>
52221 - 52236, <Location>
52239 - 52246, <Location>
52376 - 52391, <Person>
52413 - 52428, <Person>
52443 - 52458, <Location>
52479 - 52484, <Location>
52500 - 52516, <Person>
52549 - 52560, <Org>
52579 - 52590, <Location>
52731 - 52739, <Location>
52865 - 52885, <Location>
52905 - 52916, <Location>
52969 - 52974, <Location>
53069 - 53075, <Person>
53147 - 53153, <Person>
53174 - 53179, <Location>
53389 - 53405, <Person>
53481 - 53505, <Person>
53545 - 53549, <Location>
53576 - 53590, <Person>
53647 - 53653, <Person>
53792 - 53797, <Location>
53951 - 53958, <Org>
53998 - 54011, <Org>
54122 - 54139, <Location>
54144 - 54168, <Org>
54241 - 54262, <Org>
54417 - 54423, <Person>
54480 - 54485, <Location>
54510 - 54521, <Person>
54524 - 54539, <Person>
54542 - 54553, <Person>
54556 - 54567, <Person>
54570 - 54584, <Person>
54711 - 54717, <Person>
54757 - 54762, <Location>
54995 - 55000, <Location>
55014 - 55020, <Person>
55030 - 55047, <Org>
55163 - 55168, <Location>
55171 - 55182, <Location>
55186 - 55201, <Location>
55214 - 55218, <Location>
55221 - 55224, <Location>
55229 - 55234, <Location>
56177 - 56183, <Person>
56249 - 56255, <Person>
56315 - 56329, <Person>
56332 - 56342, <Person>
56360 - 56369, <Person>
56379 - 56393, <Person>
56396 - 56411, <Person>
56414 - 56424, <Person>
56427 - 56435, <Person>
56438 - 56450, <Person>
56453 - 56459, <Person>
56468 - 56480, <Person>
56483 - 56487, <Person>
56525 - 56536, <Person>
56539 - 56546, <Person>
56549 - 56561, <Person>
56564 - 56570, <Org>
56588 - 56602, <Person>
56605 - 56612, <Person>
56934 - 56940, <Person>
56970 - 56977, <Location>
57183 - 57187, <Org>
57195 - 57198, <Org>
57448 - 57454, <Person>
57498 - 57503, <Location>
57506 - 57523, <Org>
58248 - 58254, <Person>
58395 - 58409, <Location>
58435 - 58441, <Person>
58548 - 58557, <Person>
58845 - 58870, <Org>
58910 - 58918, <Location>
59077 - 59085, <Location>
59107 - 59121, <Person>
59150 - 59162, <Person>
59296 - 59302, <Location>
59307 - 59317, <Location>
59376 - 59403, <Location>
59489 - 59516, <Org>
59520 - 59528, <Location>
59707 - 59713, <Location>
59733 - 59742, <Location>
59900 - 59925, <Location>
59956 - 59964, <Location>
60018 - 60048, <Location>
60078 - 60088, <Location>
60289 - 60300, <Person>
60451 - 60472, <Person>
60711 - 60732, <Person>
60944 - 60970, <Location>
61199 - 61207, <Location>
61295 - 61303, <Location>
61992 - 61999, <Location>
62003 - 62012, <Location>
62059 - 62076, <Location>
62279 - 62296, <Location>
62358 - 62383, <Location>
62645 - 62662, <Location>
62768 - 62774, <Location>
62812 - 62819, <Location>
62856 - 62868, <Location>
63056 - 63075, <Person>
63570 - 63576, <Location>
63740 - 63771, <Org>
63837 - 63850, <Person>
63881 - 63887, <Location>
63890 - 63896, <Location>
63942 - 63948, <Location>
63952 - 63960, <Org>
63963 - 63968, <Org>
63999 - 64022, <Org>
64181 - 64189, <Org>
64194 - 64208, <Org>
64322 - 64342, <Org>
64374 - 64377, <Org>
64454 - 64464, <Location>
64468 - 64496, <Location>
64499 - 64506, <Location>
64530 - 64549, <Location>
64575 - 64582, <Location>
64586 - 64600, <Location>
64649 - 64655, <Location>
64674 - 64685, <Location>
64723 - 64736, <Location>
64848 - 64860, <Person>
64933 - 64964, <Org>
65002 - 65011, <Location>
65023 - 65034, <Person>
65103 - 65116, <Person>
65281 - 65291, <Org>
65417 - 65432, <Location>
65446 - 65459, <Org>
65446 - 65479, <Person>
65522 - 65532, <Org>
65773 - 65794, <Person>
65864 - 65874, <Org>
66157 - 66167, <Org>
66591 - 66601, <Org>
66660 - 66695, <Org>
66706 - 66733, <Org>
66747 - 66772, <Org>
66794 - 66816, <Person>
66837 - 66847, <Org>
66924 - 66932, <Person>
66987 - 66997, <Org>
67036 - 67067, <Person>
67200 - 67220, <Org>
67321 - 67347, <Org>
67438 - 67442, <Org>
67455 - 67495, <Person>
67519 - 67535, <Org>
67580 - 67596, <Org>
67599 - 67637, <Person>
67730 - 67740, <Org>
67770 - 67788, <Org>
67912 - 67924, <Person>
67964 - 67974, <Org>
68158 - 68176, <Org>
68230 - 68245, <Org>
68418 - 68462, <Org>
68465 - 68494, <Org>
68507 - 68535, <Org>
68567 - 68584, <Location>
68638 - 68648, <Org>
68663 - 68690, <Org>
68734 - 68750, <Person>
69054 - 69067, <Org>
69070 - 69081, <Location>
69139 - 69151, <Org>
69241 - 69246, <Location>
69249 - 69255, <Location>
69379 - 69385, <Location>
69872 - 69919, <Person>
69898 - 69919, <Org>
70705 - 70713, <Location>
70717 - 70743, <Org>
70903 - 70931, <Org>
71015 - 71024, <Person>
71027 - 71049, <Person>
71052 - 71062, <Person>
71067 - 71090, <Person>
71094 - 71124, <Org>
71127 - 71130, <Org>
71218 - 71256, <Org>
71284 - 71290, <Location>
71293 - 71300, <Location>
71303 - 71310, <Location>
71313 - 71319, <Location>
71322 - 71329, <Location>
71346 - 71357, <Location>
71360 - 71368, <Location>
71373 - 71378, <Location>
71383 - 71390, <Org>
71515 - 71521, <Location>
71561 - 71587, <Org>
71590 - 71593, <Org>
71635 - 71645, <Location>
71648 - 71650, <Location>
71719 - 71731, <Location>
71760 - 71776, <Person>
72136 - 72141, <Location>
72172 - 72204, <Location>
72416 - 72439, <Location>
72648 - 72681, <Location>
72648 - 72681, <Location>
73366 - 73387, <Org>
73430 - 73440, <Location>
73468 - 73478, <Location>
73519 - 73540, <Org>
73568 - 73603, <Org>
73725 - 73735, <Location>
73768 - 73812, <Org>
73941 - 73977, <Org>
74013 - 74032, <Org>
74082 - 74087, <Location>
75065 - 75084, <Org>
75088 - 75093, <Location>
75135 - 75160, <Org>
75251 - 75272, <Location>
75275 - 75285, <Location>
75288 - 75295, <Location>
75348 - 75357, <Location>
75471 - 75478, <Location>
75508 - 75517, <Person>
75571 - 75581, <Person>
75586 - 75599, <Person>
75603 - 75612, <Person>
75628 - 75647, <Location>
75676 - 75697, <Person>
75724 - 75734, <Person>
75762 - 75772, <Person>
75811 - 75820, <Person>
75862 - 75864, <Person>
75917 - 75927, <Person>
75997 - 76007, <Person>
76024 - 76037, <Person>
76077 - 76084, <Location>
76088 - 76098, <Person>
76164 - 76173, <Person>
76218 - 76222, <Person>
76270 - 76294, <Person>
76299 - 76314, <Person>
76348 - 76354, <Location>
76358 - 76379, <Org>
76432 - 76447, <Location>
76504 - 76515, <Location>
76533 - 76545, <Location>
76682 - 76698, <Person>
76811 - 76821, <Person>
76975 - 76981, <Location>
76986 - 76993, <Location>
77002 - 77012, <Person>
77089 - 77102, <Person>
78311 - 78334, <Person>
78386 - 78393, <Person>
78479 - 78491, <Location>
78680 - 78688, <Person>
78721 - 78732, <Person>
78755 - 78781, <Person>
78845 - 78868, <Person>
78886 - 78896, <Location>
79130 - 79138, <Person>
79211 - 79218, <Person>
79295 - 79306, <Person>
79323 - 79348, <Location>
79507 - 79529, <Person>
79611 - 79619, <Person>
79650 - 79656, <Person>
79719 - 79727, <Person>
79752 - 79759, <Person>
79782 - 79793, <Person>
79855 - 79866, <Person>
80119 - 80130, <Person>
80270 - 80281, <Person>
80296 - 80304, <Person>
80309 - 80318, <Person>
80349 - 80352, <Person>
80472 - 80478, <Location>
80708 - 80737, <Location>
80825 - 80833, <Location>
80836 - 80846, <Location>
80993 - 81003, <Location>
81028 - 81034, <Location>
81037 - 81047, <Location>
81054 - 81060, <Location>
81115 - 81129, <Person>
81132 - 81144, <Person>
81147 - 81161, <Person>
81168 - 81181, <Person>
81214 - 81224, <Person>
81227 - 81244, <Person>
81247 - 81259, <Person>
81262 - 81276, <Person>
81279 - 81288, <Person>
81291 - 81305, <Person>
81308 - 81330, <Person>
81333 - 81343, <Person>
81346 - 81360, <Person>
81363 - 81379, <Person>
81382 - 81392, <Person>
81395 - 81401, <Person>
81406 - 81412, <Person>
81424 - 81438, <Person>
81441 - 81448, <Person>
81462 - 81475, <Person>
81480 - 81486, <Person>
81526 - 81540, <Person>
81543 - 81560, <Person>
81563 - 81580, <Person>
81583 - 81599, <Person>
81604 - 81623, <Person>
81641 - 81656, <Person>
81661 - 81675, <Person>
81978 - 82002, <Location>
82063 - 82085, <Location>
82237 - 82257, <Org>
82261 - 82269, <Location>
82324 - 82352, <Org>
82392 - 82421, <Org>
82459 - 82470, <Location>
82473 - 82483, <Location>
82499 - 82549, <Org>
82779 - 82824, <Person>
82795 - 82824, <Org>
82877 - 82894, <Org>
82989 - 83016, <Org>
84009 - 84025, <Person>
84080 - 84091, <Person>
84298 - 84310, <Location>
84313 - 84325, <Location>
84328 - 84331, <Location>
84346 - 84355, <Location>
84358 - 84368, <Location>
84372 - 84389, <Person>
84470 - 84503, <Org>
84544 - 84568, <Org>
84593 - 84603, <Person>
84781 - 84792, <Person>
84924 - 84932, <Org>
84988 - 84997, <Location>
85674 - 85684, <Person>
86281 - 86287, <Location>
86380 - 86388, <Location>
86405 - 86411, <Person>
86571 - 86576, <Location>
86579 - 86587, <Location>
86711 - 86723, <Location>
86726 - 86736, <Person>
86741 - 86770, <Person>
86779 - 86786, <Person>
86817 - 86820, <Person>
87314 - 87320, <Person>
87422 - 87428, <Person>
87579 - 87589, <Person>
87646 - 87652, <Person>
87664 - 87670, <Location>
87743 - 87746, <Person>
88053 - 88056, <Person>
88115 - 88127, <Person>
88545 - 88557, <Person>
88616 - 88622, <Person>
88776 - 88779, <Person>
88825 - 88845, <Location>
88851 - 88860, <Location>
88906 - 88909, <Person>
89018 - 89022, <Person>
89096 - 89109, <Person>
89210 - 89216, <Person>
89344 - 89353, <Location>
90066 - 90071, <Org>
90213 - 90219, <Person>
90223 - 90229, <Person>
90240 - 90252, <Person>
90748 - 90754, <Person>
91113 - 91119, <Person>
91464 - 91470, <Person>
91518 - 91526, <Org>
91592 - 91601, <Person>
91812 - 91820, <Org>
92357 - 92363, <Location>
92382 - 92388, <Person>
93075 - 93080, <Location>
93153 - 93159, <Location>
93243 - 93251, <Location>
93403 - 93409, <Location>
93426 - 93439, <Location>
93446 - 93455, <Location>
93540 - 93546, <Location>
93699 - 93711, <Person>
94017 - 94027, <Person>
94106 - 94112, <Location>
94303 - 94309, <Person>
94419 - 94440, <Location>
94443 - 94464, <Location>
94467 - 94474, <Location>
94491 - 94510, <Location>
94831 - 94846, <Location>
94927 - 94939, <Location>
95002 - 95012, <Location>
95065 - 95071, <Location>
95088 - 95092, <Location>
95311 - 95316, <Location>
95319 - 95337, <Location>
95366 - 95380, <Person>
95557 - 95571, <Person>
95617 - 95629, <Location>
95643 - 95657, <Person>
95799 - 95820, <Person>
95850 - 95857, <Location>
95860 - 95865, <Location>
95925 - 95957, <Org>
95961 - 95984, <Org>
96045 - 96049, <Org>
96204 - 96211, <Location>
96214 - 96221, <Location>
96234 - 96251, <Org>
96257 - 96264, <Location>
96296 - 96303, <Location>
96512 - 96553, <Org>
96628 - 96633, <Location>
96675 - 96696, <Org>
96830 - 96834, <Org>
96975 - 97014, <Org>
97071 - 97094, <Org>
97099 - 97111, <Org>
97460 - 97468, <Location>
97498 - 97509, <Person>
97708 - 97714, <Location>
97717 - 97724, <Location>
97760 - 97810, <Org>
97839 - 97844, <Location>
97839 - 97864, <Person>
97991 - 97998, <Location>
98001 - 98006, <Location>
98070 - 98089, <Org>
98204 - 98209, <Location>
98218 - 98226, <Location>
98307 - 98344, <Org>
98395 - 98430, <Org>
98434 - 98462, <Org>
98642 - 98674, <Org>
98642 - 98674, <Org>
99177 - 99180, <Org>
99206 - 99238, <Person>
99264 - 99271, <Location>
99274 - 99280, <Location>
99376 - 99402, <Org>
99407 - 99413, <Org>
99432 - 99445, <Org>
99494 - 99500, <Location>
99505 - 99512, <Location>
99515 - 99521, <Person>
99548 - 99554, <Org>
99635 - 99643, <Person>
99735 - 99741, <Location>
100016 - 100022, <Location>
100070 - 100076, <Person>
100259 - 100265, <Person>
100403 - 100406, <Org>
100474 - 100480, <Org>
100524 - 100530, <Person>
100551 - 100561, <Location>
100581 - 100614, <Org>
100581 - 100614, <Org>
100702 - 100725, <Org>
100774 - 100789, <Org>
100833 - 100860, <Org>
100906 - 100912, <Location>
100915 - 100919, <Location>
100940 - 100980, <Org>
100970 - 100980, <Location>
101010 - 101040, <Person>
101076 - 101086, <Location>
101207 - 101221, <Person>
101615 - 101624, <Person>
101629 - 101638, <Person>
101904 - 101914, <Location>
101993 - 102023, <Org>
102052 - 102064, <Location>
102067 - 102074, <Location>
102078 - 102115, <Org>
102184 - 102190, <Location>
102625 - 102630, <Org>
102805 - 102825, <Location>
102828 - 102835, <Location>
102867 - 102875, <Location>
102888 - 102901, <Person>
103150 - 103163, <Location>
103166 - 103173, <Location>
103281 - 103303, <Location>
103338 - 103364, <Location>
103370 - 103375, <Location>
103378 - 103385, <Location>
103407 - 103419, <Location>
103500 - 103508, <Location>
103511 - 103516, <Location>
103538 - 103545, <Location>
103553 - 103570, <Location>
103574 - 103588, <Location>
103659 - 103683, <Org>
104249 - 104257, <Location>
104573 - 104581, <Location>
104780 - 104788, <Location>
104884 - 104892, <Location>
105479 - 105488, <Location>
105554 - 105574, <Location>
105673 - 105681, <Location>
105874 - 105879, <Location>
106118 - 106135, <Location>
106196 - 106209, <Location>
106441 - 106453, <Location>
107507 - 107512, <Location>
107517 - 107535, <Location>
107554 - 107563, <Location>
107704 - 107715, <Location>
107838 - 107850, <Location>
107880 - 107892, <Location>
107917 - 107934, <Person>
108019 - 108028, <Location>
108250 - 108264, <Location>
108602 - 108611, <Location>
108689 - 108697, <Location>
108880 - 108887, <Location>
109122 - 109136, <Location>
109539 - 109548, <Location>
109661 - 109678, <Location>
110149 - 110154, <Location>
110216 - 110252, <Org>
110244 - 110252, <Location>
110396 - 110420, <Org>
110494 - 110499, <Location>
110866 - 110871, <Location>
110949 - 110954, <Location>
110958 - 111002, <Org>
111005 - 111009, <Org>
111045 - 111052, <Location>
111055 - 111071, <Location>
111243 - 111248, <Person>
111308 - 111311, <Person>
111329 - 111333, <Org>
111390 - 111404, <Location>
111466 - 111481, <Location>
111522 - 111530, <Location>
111645 - 111674, <Org>
111743 - 111747, <Org>
111816 - 111832, <Location>
111944 - 111948, <Org>
112041 - 112045, <Org>
112132 - 112136, <Org>
112287 - 112302, <Person>
112366 - 112389, <Org>
112427 - 112449, <Org>
112615 - 112632, <Org>
112800 - 112820, <Person>
112880 - 112905, <Org>
112911 - 112920, <Person>
112923 - 112934, <Person>
112937 - 112954, <Person>
112961 - 112972, <Person>
112992 - 113015, <Location>
113018 - 113028, <Location>
113133 - 113140, <Org>
113148 - 113154, <Person>
113182 - 113204, <Person>
113208 - 113212, <Person>
113294 - 113298, <Person>
113310 - 113320, <Person>
113383 - 113390, <Person>
113402 - 113408, <Person>
113412 - 113416, <Person>
113452 - 113459, <Person>
113508 - 113516, <Person>
113549 - 113553, <Person>
113581 - 113590, <Person>
113604 - 113608, <Person>
113616 - 113622, <Person>
113674 - 113678, <Person>
113683 - 113689, <Person>
113714 - 113720, <Person>
113736 - 113743, <Person>
113747 - 113754, <Person>
113766 - 113770, <Person>
113779 - 113783, <Person>
113827 - 113831, <Person>
113847 - 113858, <Person>
113875 - 113882, <Person>
113889 - 113895, <Person>
113919 - 113923, <Person>
113938 - 113941, <Org>
114010 - 114015, <Person>
114021 - 114028, <Person>
114076 - 114080, <Person>
114219 - 114224, <Person>
114231 - 114245, <Person>
114289 - 114311, <Location>
114321 - 114332, <Org>
114408 - 114418, <Person>
114424 - 114429, <Person>
114434 - 114439, <Person>
114540 - 114558, <Person>
114572 - 114595, <Person>
114598 - 114605, <Person>
114619 - 114634, <Person>
114648 - 114663, <Person>
114681 - 114687, <Person>
